# Raw mRNA and protein measurements 
#
# Generated Thu Nov 27 20:16:55 2014 
#
# Citation:
#   "Accounting for experimental noise reveals that transcript levels,
#   amplified by post-transcriptional regulation, largely determine steady-state protein levels in yeast,"
#   Gábor Csárdi, Alexander Franks, David S. Choi, Eduardo M. Airoldi, and D. Allan Drummond, PLoS Genetics, 2015
#
# orf = Systematic yeast ORF (open reading frame) identifier
# gene = Common gene name
# mrna.causton.acid.a = Causton et al. 2001 (acid treatment, 0 min, replicate a)
# mrna.causton.acid.b = Causton et al. 2001 (acid treatment, 0 min, replicate b)
# mrna.causton.nacl = Causton et al. 2001 (NaCl treatment, 0 min)
# mrna.causton.peroxide.a = Causton et al. 2001 (peroxide treatment, 0 min, replicate a)
# mrna.causton.peroxide.b = Causton et al. 2001 (peroxide treatment, 0 min, replicate b)
# mrna.dudley.3a = Dudley et al. 2002 (+glucose oligo slide 3a)
# mrna.dudley.3b = Dudley et al. 2002 (+glucose oligo slide 3b)
# mrna.dudley.3c = Dudley et al. 2002 (+glucose oligo slide 3c)
# mrna.dudley.3d = Dudley et al. 2002 (+glucose oligo slide 3d)
# mrna.garcia = Garcia-Martinez et al. 2004 (custom microarray)
# mrna.holstege = Holstege et al. 1998 (Affymetrix GeneChip YE6100 array)
# mrna.ingolia.1 = Ingolia et al. 2009 RNA-Seq (mRNA, rich medium, 1)
# mrna.ingolia.2 = Ingolia et al. 2009 RNA-Seq (mRNA, rich medium, 2)
# mrna.ingolia.ca = Ingolia 2010 (RNA-Seq, circular amplification)
# mrna.ingolia.ca.late = Ingolia 2010 (RNA-Seq, circular amplification, late)
# mrna.ingolia.rq = Ingolia 2010 (RNA-Seq, requantified)
# mrna.ingolia.rq.late = Ingolia 2010 RNA-Seq, requantified, late)
# mrna.lipson.rs07 = Lipson et al. 2009 (single-molecule sequencing [smsDGE] ch7)
# mrna.lipson.rs08 = Lipson et al. 2009 (single-molecule sequencing [smsDGE] ch8)
# mrna.lipson.rs09 = Lipson et al. 2009 (single-molecule sequencing [smsDGE] ch9)
# mrna.lipson.rs10 = Lipson et al. 2009 (single-molecule sequencing [smsDGE] ch10)
# mrna.lipson.rs11 = Lipson et al. 2009 (single-molecule sequencing [smsDGE] ch11)
# mrna.lipson.rs12 = Lipson et al. 2009 (single-molecule sequencing [smsDGE] ch12)
# mrna.lipson.ma = Lipson et al. 2009 (Affymetrix Yeast Genome 2.0 array)
# mrna.mackay = MacKay et al. 2004 (custom microarray)
# mrna.miura.1 = Miura et al. 2008 (competitive PCR, replicate 1)
# mrna.miura.2 = Miura et al. 2008 (competitive PCR, replicate 2)
# mrna.miura.3 = Miura et al. 2008 (competitive PCR, replicate 3)
# mrna.miura.4 = Miura et al. 2008 (competitive PCR, replicate 4)
# mrna.nagalakshmi = Nagalakshmi et al. 2008 RNA-Seq
# mrna.pelechano = Pelechano & Ortin, 2010 (custom microarray)
# mrna.roth.a = Roth 1998 (a cells, Affymetrix yeast antisense A-D array)
# mrna.roth.alpha = Roth 1998 (alpha cells, Affymetrix yeast antisense A-D array)
# mrna.velc = Velculescu 1997 (SAGE)
# mrna.yassour.ypd0.1 = Yassour et al. 2009 RNA-Seq (YPD, 0 minutes, 1)
# mrna.yassour.ypd0.2 = Yassour et al. 2009 RNA-Seq (YPD, 0 minutes, 2)
# mrna.yassour.ypd15.1 = Yassour et al. 2009 RNA-Seq (YPD, 15 minutes, 1)
# mrna.yassour.ypd15.2 = Yassour et al. 2009 RNA-Seq (YPD, 15 minutes, 2)
# prot.gygi = Gygi et al. 1999 (2D gel scintillation counting)
# prot.futcher = Futcher et al. 1999 (2D gel scintillation counting)
# prot.washburn = Washburn et al. 2001 (LC MS/MS, reported by Greenbaum et al. Genome Biology 2003, Volume 4, Issue 9, Article 117, Supplementary Table 4)
# prot.peng = Peng et al. 2003 (LC MS/MS, reported by Greenbaum et al. Genome Biology 2003, Volume 4, Issue 9, Article 117, Supplementary Table 4)
# prot.ghaem = Ghaemmaghami et al. 2003 (anti-TAP-tag western)
# prot.newman = Newman et al. 2006 (GFP signal quantified by flow cytometry)
# prot.lu = Lu et al. 2007 (APEX protein-level estimates)
# prot.degodoy = de Godoy et al. 2008a (LC MS/MS MaxQuant intensity values)
# prot.thakur.1 = Thakur et al. 2011 (LC MS/MS MaxQuant intensity values, replicate 1)
# prot.thakur.2 = Thakur et al. 2011 (LC MS/MS MaxQuant intensity values, replicate 2)
# prot.thakur.3 = Thakur et al. 2011 (LC MS/MS MaxQuant intensity values, replicate 3)
# prot.lee.1 = Lee et al. 2011 (TMT intensity values, replicate 1)
# prot.lee.2 = Lee et al. 2011 (TMT intensity values, replicate 2)
# prot.lee.3 = Lee et al. 2011 (TMT intensity values, replicate 3)
# prot.nagaraj.1 = Nagaraj et al. 2012 (LC MS/MS MaxQuant intensity values, replicate 1)
# prot.nagaraj.2 = Nagaraj et al. 2012 (LC MS/MS MaxQuant intensity values, replicate 2)
# prot.nagaraj.3 = Nagaraj et al. 2012 (LC MS/MS MaxQuant intensity values, replicate 3)
# prot.nagaraj.4 = Nagaraj et al. 2012 (LC MS/MS MaxQuant intensity values, replicate 4)
# prot.nagaraj.5 = Nagaraj et al. 2012 (LC MS/MS MaxQuant intensity values, replicate 5)
# prot.nagaraj.6 = Nagaraj et al. 2012 (LC MS/MS MaxQuant intensity values, replicate 6)
orf	gene	mrna.causton.acid.a	mrna.causton.acid.b	mrna.causton.nacl	mrna.causton.peroxide.a	mrna.causton.peroxide.b	mrna.dudley.3a	mrna.dudley.3b	mrna.dudley.3c	mrna.dudley.3d	mrna.garcia	mrna.holstege	mrna.ingolia.1	mrna.ingolia.2	mrna.ingolia.ca	mrna.ingolia.ca.late	mrna.ingolia.rq	mrna.ingolia.rq.late	mrna.lipson.rs07	mrna.lipson.rs08	mrna.lipson.rs09	mrna.lipson.rs10	mrna.lipson.rs11	mrna.lipson.rs12	mrna.lipson.ma	mrna.mackay	mrna.miura.1	mrna.miura.2	mrna.miura.3	mrna.miura.4	mrna.nagalakshmi	mrna.pelechano	mrna.roth.a	mrna.roth.alpha	mrna.velc	mrna.yassour.ypd0.1	mrna.yassour.ypd0.2	mrna.yassour.ypd15.1	mrna.yassour.ypd15.2	prot.gygi	prot.futcher	prot.washburn	prot.peng	prot.ghaem	prot.newman	prot.lu	prot.degodoy	prot.thakur.1	prot.thakur.2	prot.thakur.3	prot.lee.1	prot.lee.2	prot.lee.3	prot.nagaraj.1	prot.nagaraj.2	prot.nagaraj.3	prot.nagaraj.4	prot.nagaraj.5	prot.nagaraj.6
Q0130	OLI1	     NA	     NA	   NA	     NA	     NA	       NA	       NA	     NA	      NA	      NA	  NA	  479.100	  267.789	  221.62	  403.55	  303.52	  535.41	    2.0	    1.6	    1.3	    3.0	    1.5	    3.3	   NA	     NA	    NA	    NA	    NA	    NA	  20.0	      NA	   NA	   NA	 NA	      NA	      NA	      NA	      NA	   NA	    NA	 NA	NA	     NA	     NA	     NA	   126410000	        NA	       NA	       NA	            NA	           NA	            NA	    44131000	    44990000	   28019000	    39784000	    41737000	   77324000
Q0140	VAR1	     NA	     NA	   NA	     NA	     NA	       NA	       NA	     NA	      NA	      NA	  NA	       NA	       NA	    1.47	    0.00	    4.27	    1.49	    0.0	    0.0	    0.1	    0.0	    0.1	    0.0	   NA	     NA	    NA	    NA	    NA	    NA	    NA	      NA	   NA	   NA	 NA	      NA	      NA	      NA	      NA	   NA	    NA	 NA	NA	     NA	     NA	     NA	   437120000	        NA	       NA	       NA	            NA	           NA	            NA	  1400300000	  1613400000	 1519500000	  1220600000	  2331200000	 1520500000
Q0160	SCEI	     NA	     NA	   NA	     NA	     NA	       NA	       NA	     NA	      NA	      NA	  NA	       NA	       NA	   21.07	   38.16	   19.81	   40.29	    0.5	    0.2	    0.3	    0.3	    0.8	    0.4	   NA	     NA	    NA	    NA	    NA	    NA	   1.0	      NA	   NA	   NA	 NA	      NA	      NA	      NA	      NA	   NA	    NA	 NA	NA	     NA	     NA	     NA	          NA	        NA	       NA	       NA	            NA	           NA	            NA	          NA	          NA	         NA	          NA	          NA	         NA
Q0250	COX2	     NA	     NA	   NA	     NA	     NA	       NA	       NA	     NA	      NA	      NA	  NA	   54.544	   33.149	   78.36	  141.56	   37.38	   71.05	    1.0	    1.1	    0.9	    1.2	    0.9	    1.5	   NA	     NA	    NA	    NA	    NA	    NA	    NA	      NA	   NA	   NA	 NA	      NA	      NA	      NA	      NA	   NA	    NA	 NA	NA	     NA	     NA	     NA	     2375300	        NA	       NA	       NA	            NA	           NA	            NA	  1567600000	  1731100000	 1818600000	  1344000000	  2572000000	 2035600000
Q0255		     NA	     NA	   NA	     NA	     NA	       NA	       NA	     NA	      NA	      NA	  NA	       NA	       NA	    2.48	    3.12	    6.31	    0.00	    0.0	    0.0	    0.0	    0.0	    0.1	    0.0	   NA	     NA	    NA	    NA	    NA	    NA	   2.0	      NA	   NA	   NA	 NA	      NA	      NA	      NA	      NA	   NA	    NA	 NA	NA	     NA	     NA	     NA	          NA	        NA	       NA	       NA	            NA	           NA	            NA	          NA	          NA	         NA	          NA	          NA	         NA
Q0275	COX3	     NA	     NA	   NA	     NA	     NA	       NA	       NA	     NA	      NA	      NA	  NA	   11.881	   12.169	   17.33	   34.98	   14.69	   29.84	    0.1	    0.0	    0.0	    0.2	    0.1	    0.1	   NA	     NA	    NA	    NA	    NA	    NA	   5.0	      NA	   NA	   NA	 NA	      NA	      NA	      NA	      NA	   NA	    NA	 NA	NA	     NA	     NA	     NA	    15848000	        NA	       NA	       NA	            NA	           NA	            NA	          NA	          NA	         NA	          NA	          NA	         NA
R0010W	FLP1	     NA	     NA	   NA	     NA	     NA	       NA	       NA	     NA	      NA	      NA	  NA	       NA	       NA	      NA	      NA	      NA	      NA	  422.6	  434.8	  439.3	  447.4	  485.2	  462.2	   NA	     NA	    NA	    NA	    NA	    NA	    NA	      NA	   NA	   NA	 NA	      NA	      NA	      NA	      NA	   NA	    NA	 NA	NA	     NA	     NA	     NA	          NA	        NA	       NA	       NA	            NA	           NA	            NA	          NA	          NA	         NA	          NA	          NA	         NA
R0020C	REP1	     NA	     NA	   NA	     NA	     NA	       NA	       NA	     NA	      NA	      NA	  NA	 1061.814	  903.252	      NA	      NA	      NA	      NA	 3510.2	 3517.8	 3474.8	 3272.4	 3238.8	 3284.0	   NA	     NA	    NA	    NA	    NA	    NA	    NA	      NA	   NA	   NA	 NA	      NA	      NA	      NA	      NA	   NA	    NA	 NA	NA	     NA	     NA	     NA	    53217000	        NA	       NA	       NA	    303508.385	           NA	            NA	  1331800000	  2407500000	 2031000000	  1156200000	  2360900000	 2494600000
R0030W	RAF1	     NA	     NA	   NA	     NA	     NA	       NA	       NA	     NA	      NA	      NA	  NA	  364.657	  459.042	      NA	      NA	      NA	      NA	  954.3	  960.2	  982.1	  973.4	 1014.9	  970.8	   NA	     NA	    NA	    NA	    NA	    NA	    NA	      NA	   NA	   NA	 NA	      NA	      NA	      NA	      NA	   NA	    NA	 NA	NA	     NA	     NA	     NA	    77556000	        NA	       NA	       NA	            NA	           NA	    146234.207	          NA	          NA	         NA	          NA	          NA	         NA
R0040C	REP2	     NA	     NA	   NA	     NA	     NA	       NA	       NA	     NA	      NA	      NA	  NA	  731.516	  599.436	      NA	      NA	      NA	      NA	  231.9	  228.4	  223.4	  204.1	  202.4	  216.2	   NA	     NA	    NA	    NA	    NA	    NA	    NA	      NA	   NA	   NA	 NA	      NA	      NA	      NA	      NA	   NA	    NA	 NA	NA	     NA	     NA	     NA	  1299800000	        NA	       NA	       NA	    811823.325	   1125223.94	            NA	   757200000	  1290100000	 1055400000	   699670000	  1343800000	 1802700000
YAL001C	TFC3	  211.5	  152.8	  194	  180.8	  116.7	  0.89109	  2.54023	 2.5056	 1.75065	  11.644	 0.3	   33.798	   32.338	   34.89	   73.15	   34.41	   80.58	   44.4	   41.2	   45.4	   42.6	   40.2	   43.9	  866	   9.90	  1.94	  1.20	  1.40	  1.26	    NA	  0.2682	 0.09	 0.04	  1	  138.76	  158.70	  125.75	  125.17	   NA	    NA	 NA	NA	    125	     NA	     NA	    84554000	        NA	       NA	       NA	            NA	    273369.56	            NA	  1173500000	  2169000000	  717320000	   560440000	  1071400000	 1545500000
YAL002W	VPS8	   85.0	  101.9	  353	   25.8	   50.8	  0.18346	  0.23285	 3.1599	 0.46219	  15.620	 0.2	    9.363	   10.402	   14.19	   15.90	   10.64	   17.91	   41.7	   42.9	   39.8	   40.6	   42.3	   41.7	  474	  13.19	    NA	  0.92	  1.02	  0.66	    NA	      NA	 0.09	 0.04	 NA	   67.86	   92.41	   83.44	   66.54	   NA	    NA	 NA	NA	    736	     NA	     NA	    22270000	        NA	       NA	       NA	            NA	           NA	            NA	          NA	          NA	         NA	          NA	          NA	         NA
