# Ribosome density, mRNA level, and translational efficiency measurements for haploid budding yeast (S.cerevisiae) growing exponentially in rich medium with glucose 
#
# Generated Tue Apr 07 00:00:36 2015 
#
# Citation:
#   "Accounting for experimental noise reveals that transcript levels,
#   amplified by post-transcriptional regulation, largely determine steady-state protein levels in yeast,"
#   Gábor Csárdi, Alexander Franks, David S. Choi, Eduardo M. Airoldi, and D. Allan Drummond, PLoS Genetics, 2015
#
# orf = Systematic yeast ORF (open reading frame) identifier
# gene = Common gene name
# ing1 = Ingolia et al. 2009 mRNA (average of two replicates)
# ger1 = Gerashchenko et al. 2012 mRNA
# mcm1 = McManus et al. 2014 mRNA
# sub1 = Subtelny et al. 2014 mRNA
# rd.ing1 = Ingolia et al. 2009 ribosome footprint density (average of two replicates)
# rd.ger1 = Gerashchenko et al. 2012 ribosome footprint density
# rd.ger2 = Gerashchenko et al. 2014 ribosome footprint density
# rd.mcm1 = McManus et al. 2014 ribosome footprint density (average of two replicates)
# rd.sub1 = Subtelny et al. 2014 ribosome footprint density
# mrna.median = Median of normalized mRNA measurements from ribosome profiling studies, excluding Ingolia et al. 2009
# mrna.n = Number of mRNA-level measurements from ribosome profiling studies, excluding Ingolia et al. 2009
# rd.median = Median of normalized ribosome footprint density measurements
# rd.n = Number of ribosome footprint density measurements from ribosome profiling studies
# te = Translational efficiency (rd.median/mrna.median)
orf	gene	ing1	ger1	mcm1	sub1	rd.ing1	rd.ger1	rd.ger2	rd.mcm1	rd.sub1	mrna.median	mrna.n	rd.median	rd.n	te
YDR240C	SNU56	1.36009	0.724423	1.355367	0.3941	0.55320	0.496103	0.536362	0.54231	0.384417	0.724423	3	0.536362	5	0.74040
YDR242W	AMD2	0.47548	0.339160	0.761707	0.1589	0.04341	0.025265	0.025984	0.09083	0.017463	0.339160	3	0.025984	5	0.07661
YDR243C	PRP28	0.59669	0.455924	0.596016	0.4040	0.70391	0.502531	0.587250	0.62513	0.366727	0.455924	3	0.587250	5	1.28804
YDR244W	PEX5	1.05436	0.578889	1.071887	0.5567	0.77404	0.879235	0.910993	0.98578	0.595337	0.578889	3	0.879235	5	1.51883
YDR245W	MNN10	5.59328	4.741739	3.001283	2.2714	2.23581	3.565930	2.973302	2.91860	2.274980	3.001283	3	2.918603	5	0.97245
YDR246W	TRS23	0.38310	0.792841	0.658837	0.4879	1.17455	1.021862	1.303880	0.83885	0.802401	0.658837	3	1.021862	5	1.55101
YDR246W-A		0.06842	NA	NA	NA	0.11340	0.068277	0.094409	NA	NA	NA	0	0.094409	3	NA
YDR247W	VHS1	0.10883	0.140258	0.135066	0.2930	0.34775	0.286610	0.313703	0.43946	0.248340	0.140258	3	0.313703	5	2.23662
YDR248C		1.84545	1.557627	0.358081	0.9297	1.07522	1.344693	1.213759	0.53563	1.014000	0.929700	3	1.075216	5	1.15652
YDR249C		1.20703	0.773834	0.684751	0.2350	0.22612	0.157239	0.213595	0.16830	0.122469	0.684751	3	0.168304	5	0.24579
YDR251W	PAM1	0.48009	0.642938	2.219944	1.1078	0.87214	1.232599	0.947581	2.15723	0.737991	1.107846	3	0.947581	5	0.85534
YDR252W	BTT1	0.71559	0.312732	0.317247	NA	1.09134	0.578070	0.731495	0.30321	NA	0.314989	2	0.654783	4	2.07875
YDR253C	MET32	0.13535	0.132788	0.064392	NA	0.15629	0.076037	0.078208	0.07213	NA	0.098590	2	0.077122	4	0.78225
YDR254W	CHL4	0.54623	0.399594	0.376927	0.3072	0.26267	0.341912	0.233262	0.35932	0.205476	0.376927	3	0.262672	5	0.69688
YDR255C	RMD5	0.13903	0.306740	0.157053	0.3917	0.22419	0.305390	0.222555	0.19903	0.210693	0.306740	3	0.222555	5	0.72555
YDR256C	CTA1	0.11887	0.045781	NA	NA	NA	0.002713	0.006573	NA	NA	0.045781	1	0.004643	2	0.10142
YDR257C	RKM4	1.64580	1.580593	NA	0.8025	0.93988	1.195730	1.067383	NA	0.706013	1.191547	2	1.003633	4	0.84229
YDR258C	HSP78	0.69203	0.643448	NA	1.3464	1.70730	2.492119	1.173063	NA	1.721147	0.994917	2	1.714222	4	1.72298
YDR259C	YAP6	0.11789	0.237400	NA	NA	0.10207	0.109213	0.133307	NA	NA	0.237400	1	0.109213	3	0.46004
YDR260C	SWM1	1.32854	1.519238	NA	0.5390	1.39635	1.092107	0.978648	NA	0.964332	1.029116	2	1.035378	4	1.00608
YDR261C	EXG2	0.95683	1.105049	NA	1.3452	1.39787	1.667473	1.528284	NA	1.182509	1.225127	2	1.463078	4	1.19423
YDR261C-C		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA
YDR261C-D		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA
YDR261W-A		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA
YDR261W-B		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA
YDR262W		2.51007	2.043363	1.272915	1.2803	1.74649	2.071854	1.635351	1.36513	1.266196	1.280257	3	1.635351	5	1.27736
YDR263C	DIN7	0.21666	0.240355	0.258352	0.2726	0.03555	0.012892	0.019077	0.06144	0.024040	0.258352	3	0.024040	5	0.09305
YDR264C	AKR1	2.54615	3.362801	3.004424	2.5946	1.77510	4.260445	3.270984	3.25120	1.829101	3.004424	3	3.251204	5	1.08214
YDR265W	PEX10	2.53176	1.157070	1.100942	0.3777	0.26936	0.364989	0.268052	0.35932	0.186199	1.100942	3	0.269356	5	0.24466
YDR266C	HEL2	0.88572	1.187567	2.823028	1.0579	1.95466	1.127128	1.781829	2.34156	1.109027	1.187567	3	1.781829	5	1.50040
YDR267C	CIA1	2.17323	1.719450	0.990219	0.4322	1.31742	1.552744	0.841310	0.98845	0.921014	0.990219	3	0.988451	5	0.99821
YDR268W	MSW1	1.28319	0.982792	0.961164	0.4578	0.46688	0.758722	0.672211	0.78675	0.436580	0.961164	3	0.672211	5	0.69937
YDR270W	CCC2	0.21361	0.858873	0.296830	0.5328	0.27655	1.428534	0.732035	0.71997	0.450868	0.532752	3	0.719967	5	1.35141
YDR272W	GLO2	3.91037	2.326274	1.359294	1.6398	3.55976	3.592037	3.302359	2.43239	3.802671	1.639755	3	3.559759	5	2.17091
YDR273W	DON1	0.35505	0.165286	0.160979	NA	0.06923	0.118179	0.090275	0.03473	NA	0.163132	2	0.079753	4	0.48888
YDR275W	BSC2	3.05667	1.572062	0.588949	0.6611	0.20333	0.241691	0.194697	0.23910	0.092306	0.661131	3	0.203332	5	0.30755
YDR276C	PMP3	10.33890	26.230466	3.021700	11.5453	41.62553	27.596954	55.714664	8.59151	27.518392	11.545255	3	27.596954	5	2.39033
YDR277C	MTH1	0.05608	0.069258	0.237150	0.1938	0.20648	0.108449	0.160138	0.43278	0.180302	0.193835	3	0.180302	5	0.93018
YDR279W	RNH202	1.32589	1.347515	1.000428	0.4931	0.98804	0.961832	1.046739	0.82148	0.478311	1.000428	3	0.961832	5	0.96142
YDR280W	RRP45	5.11963	2.668649	NA	0.9813	2.21417	2.621068	2.468932	NA	1.669664	1.824986	2	2.341551	4	1.28305
YDR281C	PHM6	3.21636	2.273015	0.242647	0.9245	2.03124	1.147299	1.961250	0.50090	1.261434	0.924471	3	1.261434	5	1.36449
YDR282C		1.13486	0.372954	0.611721	0.2721	0.30395	0.329388	0.294627	0.31524	0.256959	0.372954	3	0.303952	5	0.81498
YDR283C	GCN2	0.35525	0.372456	1.176327	0.7018	0.44263	0.565897	0.412169	1.58820	0.295514	0.701788	3	0.442627	5	0.63071
YDR284C	DPP1	3.10586	1.483573	1.875213	1.0611	1.74185	2.154234	2.245016	2.31084	1.369388	1.483573	3	2.154234	5	1.45206
YDR285W	ZIP1	0.45607	0.145748	0.431110	0.1021	0.09665	0.086795	0.079081	0.16697	0.041503	0.145748	3	0.086795	5	0.59552
YDR286C		1.36159	2.076488	0.321959	0.9003	1.07457	1.289985	1.080528	0.32859	1.080678	0.900347	3	1.080528	5	1.20012
YDR287W	INM2	0.95539	1.177500	0.678469	0.5690	0.82734	1.122322	0.742202	0.76405	0.750464	0.678469	3	0.764046	5	1.12613
YDR288W	NSE3	2.49209	1.234067	1.036550	0.5790	0.67442	0.553152	0.589844	0.33928	0.364006	1.036550	3	0.553152	5	0.53365
YDR289C	RTT103	1.07457	0.789917	0.352584	0.5589	1.39821	1.165755	1.153396	0.75336	0.964786	0.558900	3	1.153396	5	2.06369
YDR291W	HRQ1	0.48040	0.476165	1.061678	0.4940	0.18582	0.305147	0.257397	0.59307	0.192776	0.493951	3	0.257397	5	0.52110
YDR292C	SRP101	1.93993	1.868119	2.584307	1.3415	1.99077	2.158210	2.046672	2.76232	1.328111	1.868119	3	2.046672	5	1.09558
YDR293C	SSD1	0.57769	0.423285	2.446886	2.0559	1.57175	1.933906	1.939323	5.64619	1.533814	2.055935	3	1.933906	5	0.94065
YDR294C	DPL1	1.11633	1.504710	2.790047	1.4697	1.58281	2.021300	2.107549	3.61319	1.374377	1.504710	3	2.021300	5	1.34332
YDR295C	HDA2	0.71323	0.476505	1.102512	0.4997	0.51379	0.569527	0.518389	0.93369	0.473775	0.499687	3	0.518389	5	1.03743
YDR296W	MHR1	1.33253	2.345620	0.921901	1.1684	1.83213	2.101931	1.759030	1.77654	1.670572	1.168409	3	1.776541	5	1.52048
YDR297W	SUR2	1.70170	2.976167	1.961592	2.1386	3.11404	3.786138	3.783082	2.97738	2.648738	2.138598	3	3.114044	5	1.45611
YDR298C	ATP5	3.91077	4.602024	2.113148	2.7017	7.73432	6.127975	6.655530	3.91774	4.684450	2.701715	3	6.127975	5	2.26818
YDR299W	BFR2	2.27178	2.187995	1.549328	0.9511	3.12550	2.295587	2.829493	1.90344	1.705498	1.549328	3	2.295587	5	1.48167
YDR300C	PRO1	2.72938	2.291023	1.687535	1.8140	2.61569	3.916731	3.785290	2.84113	2.385429	1.814021	3	2.841130	5	1.56621
YDR301W	CFT1	0.27681	0.282413	0.753069	0.7414	0.39916	0.633146	0.618112	1.51073	0.447693	0.741432	3	0.618112	5	0.83367
YDR302W	GPI11	3.87815	2.345487	0.771916	0.7020	1.96932	2.792961	2.271513	0.97242	1.302937	0.771916	3	1.969324	5	2.55122
YDR303C	RSC3	0.68336	0.615328	1.870501	1.0667	1.17032	1.035520	1.216480	2.52055	0.714404	1.066684	3	1.170324	5	1.09716
YDR304C	CPR5	9.28710	8.137592	3.782622	5.6330	12.32999	8.972988	13.504500	7.25710	11.169198	5.633029	3	11.169198	5	1.98280
YDR305C	HNT2	1.91423	1.577811	0.532410	0.6596	0.88983	1.156877	1.257279	0.66253	0.842770	0.659613	3	0.889827	5	1.34901
YDR306C		1.35293	0.674537	1.410336	0.4523	0.44314	0.394495	0.414172	0.56903	0.306627	0.674537	3	0.414172	5	0.61401
YDR307W	PMT7	0.35082	0.426010	1.230510	0.6271	0.78418	1.093413	1.070258	1.74448	0.650902	0.627054	3	1.070258	5	1.70680
YDR308C	SRB7	2.99413	2.863718	0.586593	1.1234	2.51744	2.655018	2.111760	0.69192	1.665582	1.123367	3	2.111760	5	1.87985
YDR309C	GIC2	1.35294	1.102005	0.641562	0.9287	4.21938	2.010402	2.926598	0.93101	2.014620	0.928688	3	2.014620	5	2.16932
YDR310C	SUM1	0.41065	0.418722	1.582309	0.9424	0.59475	0.730887	0.716347	1.68437	0.496227	0.942353	3	0.716347	5	0.76017
YDR311W	TFB1	1.80894	0.580747	1.913691	0.6068	0.88105	0.769841	0.789445	0.91899	0.605996	0.606810	3	0.789445	5	1.30097
YDR312W	SSF2	NA	NA	0.853583	NA	NA	NA	NA	0.97376	NA	0.853583	1	0.973758	1	1.14079
YDR313C	PIB1	0.58133	0.761701	0.209666	0.4432	0.51721	0.381583	0.321509	0.23509	0.272154	0.443172	3	0.321509	5	0.72547
YDR314C	RAD34	0.18847	0.279660	0.209666	0.2708	0.10895	0.068615	0.062751	0.14693	0.068719	0.270762	3	0.068719	5	0.25380
YDR315C	IPK1	0.80985	0.549698	0.358866	0.2158	0.26003	0.158268	0.190872	0.18433	0.090491	0.358866	3	0.184333	5	0.51365
YDR316W	OMS1	0.76161	0.742703	0.565391	0.3453	0.48778	0.529157	0.331702	0.66119	0.317513	0.565391	3	0.487777	5	0.86273
YDR316W-A		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA
YDR316W-B		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA
YDR317W	HIM1	0.48414	0.098288	0.263849	NA	0.10865	0.090414	0.125938	0.16029	NA	0.181068	2	0.117296	4	0.64780
YDR318W	MCM21	1.76945	0.705753	0.602298	0.2404	0.26566	0.346844	0.252082	0.26047	0.201621	0.602298	3	0.260470	5	0.43246
YDR319C	YFT2	1.58066	1.256698	0.911693	0.3841	0.50009	1.190465	0.752832	0.47419	0.373985	0.911693	3	0.500091	5	0.54853
YDR320C	SWA2	0.27494	0.669362	1.483366	0.6213	1.07383	1.070425	1.220794	1.41990	0.772917	0.669362	3	1.073828	5	1.60426
YDR320C-A	DAD4	4.22956	3.355323	0.432681	1.4226	5.07698	2.588766	2.743557	0.79477	1.620903	1.422639	3	2.588766	5	1.81969
YDR321W	ASP1	4.49182	7.976413	4.524697	4.8238	8.01603	12.086456	11.217299	6.86573	8.000192	4.823780	3	8.016029	5	1.66177
YDR322C-A	TIM11	4.91528	4.778261	0.678469	1.2162	5.41066	4.254225	3.862137	1.56015	4.806692	1.216151	3	4.254225	5	3.49810
YDR322W	MRPL35	1.07997	1.171581	1.183394	0.7278	1.20273	1.852174	1.477138	1.53744	1.069338	1.171581	3	1.477138	5	1.26081
YDR323C	PEP7	1.03780	0.359857	0.797044	0.2353	0.22970	0.205246	0.167738	0.26848	0.121789	0.359857	3	0.205246	5	0.57036
YDR324C	UTP4	2.22040	1.790397	2.114719	1.2708	2.30087	2.689619	3.025295	3.00543	1.618182	1.790397	3	2.689619	5	1.50225
YDR325W	YCG1	0.69846	0.492011	0.863006	0.5825	0.26228	0.602970	0.415712	1.06592	0.331574	0.582518	3	0.415712	5	0.71365
YDR326C	YSP2	0.58765	0.448928	0.892846	1.1102	0.78004	0.921569	0.885780	2.30683	0.493506	0.892846	3	0.885780	5	0.99209
YDR328C	SKP1	9.20796	5.839141	2.128853	3.0815	10.19447	6.906250	8.596959	3.80420	7.085755	3.081456	3	7.085755	5	2.29948
YDR329C	PEX3	1.72389	0.929256	1.368717	0.6406	0.51420	1.018327	0.798663	1.10600	0.649994	0.929256	3	0.798663	5	0.85946
YDR330W	UBX5	0.41695	0.431834	1.210879	0.4712	0.83383	0.991289	0.873147	1.00582	0.684014	0.471176	3	0.873147	5	1.85312
YDR331W	GPI8	1.62695	1.137227	0.813535	1.0309	1.63392	1.909719	1.809996	1.71376	1.287061	1.030920	3	1.713761	5	1.66236
YDR332W	IRC3	0.55183	0.532921	0.965091	0.2493	0.10815	0.112207	0.102548	0.21372	0.077564	0.532921	3	0.108145	5	0.20293
YDR333C	RQC1	2.02775	1.186732	2.340090	0.7995	0.99727	1.032625	1.208778	1.59488	0.733682	1.186732	3	1.032625	5	0.87014
YDR334W	SWR1	0.40986	0.462664	0.498643	0.7748	0.25360	0.249617	0.246254	0.70794	0.201167	0.498643	3	0.249617	5	0.50059
YDR335W	MSN5	0.57617	0.937918	2.179896	1.2575	0.79937	1.532207	1.169289	3.43821	0.933488	1.257483	3	1.169289	5	0.92986
YDR336W		2.88886	1.236957	0.849657	0.3710	0.48815	0.378570	0.425957	0.36466	0.173498	0.849657	3	0.378570	5	0.44556
YDR337W	MRPS28	1.94257	1.590254	0.807252	0.8808	1.65224	2.104696	1.593397	1.27029	1.415654	0.880778	3	1.593397	5	1.80908
YDR338C		0.66562	0.461405	1.143346	0.2662	0.42334	0.363006	0.313601	0.59975	0.194136	0.461405	3	0.363006	5	0.78674
YDR339C	FCF1	4.83656	4.398580	1.526555	1.4355	4.27184	4.248944	4.535785	2.14788	2.359121	1.526555	3	4.248944	5	2.78335
YDR341C		4.54542	4.050816	6.018271	6.1435	11.67148	13.115983	13.630053	16.26003	9.045717	6.018271	3	13.115983	5	2.17936
YDR342C	HXT7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA
YDR343C	HXT6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA
YDR345C	HXT3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA
YDR346C	SVF1	5.82768	5.507966	3.125355	3.4312	4.44599	7.455073	6.588748	5.84923	4.180965	3.431169	3	5.849228	5	1.70473
YDR347W	MRP1	1.05034	3.163378	0.992575	1.5947	1.62128	2.263390	1.755255	1.68437	1.239661	1.594712	3	1.684375	5	1.05623
YDR348C	PAL1	2.00099	1.243218	2.041689	0.9064	1.79836	1.519032	1.887356	1.75918	1.378913	1.243218	3	1.759176	5	1.41502
YDR349C	YPS7	0.98873	1.740379	2.384065	1.0797	0.77992	1.033135	1.034800	1.50939	0.584224	1.740379	3	1.033135	5	0.59363
YDR350C	ATP22	1.09679	0.507958	2.161835	0.3060	0.14986	0.173026	0.142627	0.44480	0.087543	0.507958	3	0.149855	5	0.29501
YDR351W	SBE2	0.68040	0.584524	1.937249	0.6019	0.67485	0.721604	0.768211	1.24091	0.469466	0.601918	3	0.721604	5	1.19884
YDR352W	YPQ2	2.01042	1.528999	1.568174	0.7295	1.03196	1.222989	1.299977	1.31437	0.837327	1.528999	3	1.222989	5	0.79986
YDR353W	TRR1	5.58817	11.902856	6.952736	8.2000	19.11514	25.513835	22.044459	16.21595	18.975480	8.199953	3	19.115142	5	2.33113
YDR354W	TRP4	1.73570	1.791430	2.126498	1.1563	1.92904	2.094947	2.156024	2.20665	1.288649	1.791430	3	2.094947	5	1.16943
YDR356W	SPC110	0.48161	0.452063	0.288978	0.5739	0.91094	0.738905	0.705512	1.11000	0.592162	0.452063	3	0.738905	5	1.63452
YDR357C	CNL1	2.92561	2.670639	0.419332	1.1843	1.49677	2.055830	1.260385	0.35664	1.018536	1.184267	3	1.260385	5	1.06427
YDR358W	GGA1	0.49701	0.280119	1.133137	0.4032	0.71968	0.775790	0.659296	1.06459	0.686282	0.403191	3	0.719684	5	1.78497
YDR359C	EAF1	0.13539	0.379321	0.649414	0.6659	0.27098	0.357662	0.317580	0.82015	0.250835	0.649414	3	0.317580	5	0.48903
YDR361C	BCP1	6.62767	5.360872	1.198314	1.8014	5.06619	5.364915	5.692775	1.93549	3.222756	1.801368	3	5.066187	5	2.81241
YDR362C	TFC6	0.75410	0.748725	0.833951	0.4384	0.42945	0.539663	0.375941	0.59441	0.295060	0.748725	3	0.429453	5	0.57358
YDR363W	ESC2	0.77683	0.752017	0.678469	0.3917	0.35350	0.287231	0.372167	0.39004	0.284854	0.678469	3	0.353499	5	0.52103
YDR363W-A	SEM1	11.55137	16.613384	1.031053	5.1308	17.27015	15.428117	11.303466	1.87004	12.955888	5.130812	3	12.955888	5	2.52511
YDR364C	CDC40	1.58665	1.068689	1.223443	0.5299	0.49647	0.486169	0.477539	0.42076	0.301184	1.068689	3	0.477539	5	0.44685
YDR365C	ESF1	4.58946	4.334177	1.711092	1.9893	2.50409	3.498746	3.060188	4.02594	1.926623	1.989299	3	3.060188	5	1.53832
YDR365W-A		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA
YDR365W-B		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA
YDR366C		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA
YDR367W	KEI1	1.75170	4.202726	1.695387	1.4012	1.35096	2.819692	2.359477	1.34910	1.316771	1.695387	3	1.350964	5	0.79685
YDR368W	YPR1	2.86373	3.474650	3.395486	2.7970	5.30804	7.358784	6.805732	5.92269	5.914812	3.395486	3	5.922694	5	1.74428
YDR369C	XRS2	0.29865	0.262672	0.530054	0.2240	0.23806	0.215464	0.212259	0.45816	0.167375	0.262672	3	0.215464	5	0.82028
YDR370C	DXO1	2.16240	1.471390	1.294117	0.5424	0.30876	0.439874	0.410243	0.39939	0.281453	1.294117	3	0.399388	5	0.30862
YDR371W	CTS2	1.19399	0.676344	1.079739	0.4484	0.35182	0.648069	0.424339	0.64917	0.348811	0.676344	3	0.424339	5	0.62740
YDR372C	VPS74	6.04387	4.618331	2.525412	2.2410	4.33968	5.260558	3.588333	2.97070	2.402666	2.525412	3	3.588333	5	1.42089
YDR373W	FRQ1	6.26929	6.045947	0.907766	1.8257	3.56122	4.909512	3.130154	1.59221	2.582287	1.825661	3	3.130154	5	1.71453
YDR374C	PHO92	0.04636	0.022533	0.016491	NA	0.03262	0.019344	0.013095	0.00801	NA	0.019512	2	0.016219	4	0.83126
YDR374W-A	WIP1	2.33710	1.985989	0.329811	0.9575	1.43270	1.449018	0.766722	0.34462	1.194302	0.957536	3	1.194302	5	1.24727
YDR375C	BCS1	0.93654	0.986113	0.665119	0.4975	0.31671	0.553056	0.623658	0.66921	0.361965	0.665119	3	0.553056	5	0.83151
YDR376W	ARH1	1.30976	1.066428	1.295687	0.6684	0.67971	0.951010	0.624942	1.06726	0.599646	1.066428	3	0.679713	5	0.63737
YDR377W	ATP17	7.48963	4.856899	0.935251	2.7368	13.80192	6.878757	9.207728	3.62388	5.659214	2.736804	3	6.878757	5	2.51343
YDR378C	LSM6	11.48977	10.992528	1.119003	3.2446	9.13278	12.227206	8.199348	1.86203	5.645380	3.244588	3	8.199348	5	2.52708
YDR379C-A	SDH6	1.76283	0.484514	0.193175	NA	0.81245	1.020669	0.531766	0.23643	NA	0.338845	2	0.672106	4	1.98352
YDR379W	RGA2	0.41710	0.385146	0.900699	0.3580	0.33882	0.334523	0.338224	0.64917	0.241537	0.385146	3	0.338224	5	0.87817
YDR380W	ARO10	3.50407	0.067361	3.509349	0.5213	1.29588	0.204485	0.258989	0.83751	0.615748	0.521280	3	0.615748	5	1.18122
YDR381C-A		2.58173	1.944348	0.319603	0.6055	0.71832	0.866076	1.042349	0.25646	0.874748	0.605461	3	0.866076	5	1.43044
YDR381W	YRA1	14.36112	9.952965	4.783834	9.4235	24.47303	13.974142	19.373666	7.77003	20.838373	9.423527	3	19.373666	5	2.05588
YDR382W	RPP2B	103.41805	150.114224	15.103002	70.5744	205.88398	130.687457	114.434672	24.00468	120.945437	70.574393	3	120.945437	5	1.71373
YDR383C	NKP1	2.04552	0.787058	0.369075	0.4703	0.56662	0.524491	0.283946	0.30455	0.323863	0.470333	3	0.323863	5	0.68858
YDR384C	ATO3	1.07572	4.811256	0.976084	1.9277	3.76878	7.932940	9.026022	1.65900	4.998787	1.927724	3	4.998787	5	2.59310
YDR385W	EFT2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA
YDR386W	MUS81	0.62425	0.476459	0.701242	0.2094	0.23666	0.226579	0.193414	0.31924	0.157849	0.476459	3	0.226579	5	0.47555
YDR387C		0.94219	0.733456	1.722086	0.3241	0.09335	0.230320	0.140959	0.26181	0.106367	0.733456	3	0.140959	5	0.19218
YDR388W	RVS167	1.96060	2.308453	4.702952	3.4679	5.30648	6.369946	6.043657	6.50374	4.531590	3.467946	3	6.043657	5	1.74272
YDR389W	SAC7	0.47075	0.708408	0.647058	0.9589	0.76495	0.900330	0.897385	0.99647	0.584224	0.708408	3	0.897385	5	1.26676
YDR390C	UBA2	1.24641	1.034283	2.162620	0.7961	1.11110	1.335954	1.234787	1.85802	0.783803	1.034283	3	1.234787	5	1.19386
YDR391C		1.01726	0.900788	0.867718	0.5891	0.66709	1.147342	0.739275	0.58639	0.667684	0.867718	3	0.667684	5	0.76947
YDR392W	SPT3	0.98023	1.055868	0.692604	0.4465	0.56662	1.108272	0.826469	0.65318	0.748197	0.692604	3	0.748197	5	1.08027
YDR393W	SHE9	1.14988	0.570077	0.910122	0.4594	0.38958	0.363650	0.375710	0.46217	0.259453	0.570077	3	0.375710	5	0.65905
YDR394W	RPT3	3.70399	3.001448	3.514061	2.8338	4.67274	6.533299	5.743151	5.14395	4.474211	3.001448	3	5.143955	5	1.71382
YDR395W	SXM1	1.57517	1.546144	3.708807	2.3866	2.86449	3.968934	3.978293	7.99978	2.670284	2.386585	3	3.968934	5	1.66302
YDR397C	NCB2	3.29981	6.216270	0.920331	2.3716	3.46109	4.480302	4.546235	0.86156	3.126595	2.371571	3	3.461093	5	1.45941
YDR398W	UTP5	3.14561	2.452142	2.486934	1.2580	2.20125	2.409908	3.119447	2.71958	1.675107	2.452142	3	2.409908	5	0.98278
YDR399W	HPT1	23.85596	7.694556	2.695815	5.4788	12.23254	7.461718	12.807538	3.54373	9.217627	5.478838	3	9.217627	5	1.68241
YDR400W	URH1	0.70516	1.513241	0.986293	1.0142	1.07572	1.627836	1.729426	1.19282	1.063668	1.014219	3	1.192820	5	1.17610
YDR402C	DIT2	0.05912	0.024756	0.105226	NA	NA	0.003325	0.001335	0.00668	NA	0.064991	2	0.003325	3	0.05116
YDR403W	DIT1	0.13778	0.152021	0.164120	NA	0.02635	0.056150	0.061673	0.04274	NA	0.158071	2	0.049447	4	0.31281
YDR404C	RPB7	2.34372	3.264857	1.089163	1.8327	4.57696	4.043170	3.094362	1.58553	2.549175	1.832746	3	3.094362	5	1.68837
YDR405W	MRP20	0.50475	1.120581	1.175542	0.5802	1.34514	1.020511	1.293327	1.14206	1.045298	1.120581	3	1.142062	5	1.01917
YDR406W	PDR15	0.14544	0.197769	0.830810	0.4393	0.12941	0.917757	0.634724	1.48134	0.200487	0.439292	3	0.634724	5	1.44488
YDR407C	TRS120	0.45601	0.561041	1.437035	0.7499	0.43983	0.624260	0.454354	1.51073	0.283267	0.749867	3	0.454354	5	0.60591
YDR408C	ADE8	4.39121	3.162473	1.769987	2.1588	4.67319	2.929333	4.790178	1.96221	3.237951	2.158841	3	3.237951	5	1.49986
YDR409W	SIZ1	NA	0.146205	0.321959	NA	NA	0.268824	0.318402	0.31390	NA	0.234082	2	0.313900	3	1.34099
YDR410C	STE14	3.45057	2.469102	0.804111	0.8919	1.14320	1.400841	1.668857	0.42477	0.784257	0.891912	3	1.143195	5	1.28174
YDR411C	DFM1	1.23245	1.310223	1.564248	0.8398	0.99074	1.910521	1.584282	1.68838	0.965239	1.310223	3	1.584282	5	1.20917
YDR412W	RRP17	3.09702	3.686739	0.727155	0.9430	5.27912	3.040787	2.954533	1.39853	2.668469	0.943028	3	2.954533	5	3.13303
YDR414C	ERD1	0.98258	1.016326	1.207738	0.5398	0.55282	0.817075	0.712136	0.70794	0.390541	1.016326	3	0.707945	5	0.69657
YDR415C		2.05953	0.564013	1.039691	0.5154	0.97606	1.028172	1.236738	1.23289	0.976806	0.564013	3	1.028172	5	1.82296
YDR416W	SYF1	1.36888	0.540815	1.437820	0.4037	0.43665	0.454678	0.363976	0.84686	0.305946	0.540815	3	0.436646	5	0.80738
YDR418W	RPL12B	NA	NA	16.592650	NA	NA	NA	NA	37.79892	NA	16.592650	1	37.798917	1	2.27805
YDR419W	RAD30	1.05760	0.642705	1.042832	0.3133	0.16494	0.317741	0.263996	0.40607	0.229063	0.642705	3	0.263996	5	0.41076
YDR420W	HKR1	NA	0.174810	0.607795	NA	NA	0.146062	0.142371	0.68524	NA	0.391302	2	0.146062	3	0.37327
YDR421W	ARO80	0.57431	0.289512	0.888135	0.4484	0.17433	0.221889	0.186866	0.46751	0.157849	0.448402	3	0.186866	5	0.41674
YDR422C	SIP1	0.47085	0.543643	0.911693	0.7629	0.58238	0.696988	0.807136	0.81480	0.502124	0.762857	3	0.696988	5	0.91365
YDR423C	CAD1	0.49972	1.304250	1.369502	0.7160	0.77998	1.089601	0.752960	0.79343	0.645685	1.304250	3	0.779982	5	0.59803
