# SCM estimates of mRNA and protein levels, log-transformed and unscaled, for haploid budding yeast (S.cerevisiae) growing exponentially in rich medium with glucose 
#
# Generated Tue Apr 07 00:00:36 2015 
#
# Citation:
#   "Accounting for experimental noise reveals that transcript levels,
#   amplified by post-transcriptional regulation, largely determine steady-state protein levels in yeast,"
#   Gábor Csárdi, Alexander Franks, David S. Choi, Eduardo M. Airoldi, and D. Allan Drummond, PLoS Genetics, 2015
#
# orf = Systematic yeast ORF (open reading frame) identifier
# gene = Common gene name
# mrna = Messenger RNA level
# prot = Protein level
# sd.mrna = Standard deviation on estimates of log-transformed mRNA levels (mRNA lower bound = exp(log(mrna)-sd.mrna)), mRNA upper bound = exp(log(mrna)+sd.mrna)))
# sd.prot = Standard deviation on estimates of log-transformed protein levels (protein lower bound = exp(log(prot)-sd.prot)), protein upper bound = exp(log(prot)+sd.prot)))
# n.mrna = Number of mRNA-level measurements
# n.prot = Number of protein-level measurements
orf	gene	mrna	prot	sd.mrna	sd.prot	n.mrna	n.prot
YAL060W	BDH1	0.735339	1.042999	0.229	0.216	13	6
YAL061W	BDH2	-0.188705	0.038839	0.253	0.253	12	3
YAL062W	GDH3	-0.470980	-0.458339	0.270	0.390	13	4
YAL063C	FLO9	-1.378567	-1.525823	0.305	0.398	7	0
YAL063C-A		-2.304313	-2.257184	0.383	0.483	3	0
YAL064C-A	TDA8	-2.280294	-2.223147	0.342	0.402	3	0
YAL064W		-2.088465	-2.050460	0.363	0.475	3	0
YAL064W-B		-1.609977	-1.618861	0.323	0.375	6	0
YAL065C		-1.622959	-1.644805	0.333	0.460	7	0
YAL067C	SEO1	-1.728658	-1.751692	0.336	0.489	8	0
YAL067W-A		-3.902556	-3.597768	0.472	0.575	1	0
YAL068C	PAU8	-1.203488	-1.335927	0.277	0.353	6	0
YAR002C-A	ERP1	0.983085	1.296175	0.260	0.228	9	5
YAR002W	NUP60	0.547351	0.648467	0.266	0.247	12	6
YAR003W	SWD1	-0.221694	-0.241396	0.248	0.307	11	4
YAR007C	RFA1	0.269412	0.402639	0.301	0.313	12	7
YAR008W	SEN34	-0.174814	-0.336418	0.290	0.361	11	2
YAR009C		0.210925	0.093436	0.252	0.238	6	2
YAR010C		-0.133869	-0.297289	0.279	0.352	7	1
YAR014C	BUD14	0.082006	0.278710	0.269	0.241	11	5
YAR015W	ADE1	1.441731	1.414547	0.229	0.252	13	10
YAR018C	KIN3	-0.251636	-0.363780	0.291	0.341	11	2
YAR019C	CDC15	-0.635514	-0.661447	0.266	0.347	11	3
YAR020C	PAU7	-0.495852	-0.726187	0.336	0.406	8	0
YAR023C		-0.483137	-0.740593	0.285	0.417	11	0
YAR027W	UIP3	0.088501	0.116081	0.245	0.286	13	4
YAR028W		-0.220436	0.170911	0.230	0.225	12	4
YAR029W		-1.147127	-1.345692	0.272	0.412	9	0
YAR031W	PRM9	-0.937740	-0.777068	0.261	0.278	11	2
YAR033W	MST28	-0.803867	-0.862932	0.290	0.386	11	1
YAR035C-A		-2.981616	-2.762650	0.405	0.504	2	0
