# SCM estimates of mRNA and protein levels, log-transformed and unscaled, for haploid budding yeast (S.cerevisiae) growing exponentially in rich medium with glucose 
#
# Generated Tue Apr 07 00:00:36 2015 
#
# Citation:
#   "Accounting for experimental noise reveals that transcript levels,
#   amplified by post-transcriptional regulation, largely determine steady-state protein levels in yeast,"
#   Gábor Csárdi, Alexander Franks, David S. Choi, Eduardo M. Airoldi, and D. Allan Drummond, PLoS Genetics, 2015
#
# orf = Systematic yeast ORF (open reading frame) identifier
# gene = Common gene name
# mrna = Messenger RNA level
# prot = Protein level
# sd.mrna = Standard deviation on estimates of log-transformed mRNA levels (mRNA lower bound = exp(log(mrna)-sd.mrna)), mRNA upper bound = exp(log(mrna)+sd.mrna)))
# sd.prot = Standard deviation on estimates of log-transformed protein levels (protein lower bound = exp(log(prot)-sd.prot)), protein upper bound = exp(log(prot)+sd.prot)))
# n.mrna = Number of mRNA-level measurements
# n.prot = Number of protein-level measurements
orf	gene	mrna	prot	sd.mrna	sd.prot	n.mrna	n.prot
YER118C	SHO1	0.509977	0.540936	0.263	0.219	11	4
YER119C	AVT6	-0.256781	-0.547066	0.292	0.387	12	0
YER120W	SCS2	1.258538	1.140412	0.231	0.197	10	7
YER121W		-1.178604	-1.240551	0.325	0.416	9	0
YER122C	GLO3	0.650913	0.803948	0.270	0.243	9	7
YER123W	YCK3	-0.001292	0.214537	0.261	0.237	10	6
YER124C	DSE1	0.710829	0.355976	0.271	0.278	11	2
YER125W	RSP5	0.405563	0.178902	0.269	0.303	11	4
YER126C	NSA2	1.118606	1.574514	0.225	0.220	11	7
YER127W	LCP5	0.489611	0.275859	0.256	0.278	11	4
YER128W	VFA1	-0.214007	0.246123	0.237	0.260	11	4
YER129W	SAK1	-0.295885	-0.278018	0.208	0.264	10	3
YER130C	COM2	-0.309295	-0.641171	0.275	0.437	11	0
YER131W	RPS26B	2.307401	2.279263	0.245	0.230	12	5
YER132C	PMD1	-0.017915	0.120298	0.269	0.260	11	3
YER133W	GLC7	1.257846	1.467677	0.249	0.204	10	8
YER134C		0.386865	0.626851	0.239	0.254	10	6
YER136W	GDI1	1.242621	1.250783	0.234	0.221	12	9
YER137C		-0.531889	-0.709990	0.268	0.341	10	1
YER137C-A		NA	NA	NA	NA	0	0
YER138C		0.216781	-0.345294	0.265	0.373	7	0
YER138W-A		-0.719297	-0.906112	0.303	0.362	4	0
YER139C	RTR1	-0.220833	0.089620	0.245	0.295	10	4
YER140W	EMP65	-0.465827	-0.687608	0.283	0.423	11	0
YER141W	COX15	0.602328	0.658509	0.282	0.271	11	5
YER142C	MAG1	-0.415158	-0.506303	0.283	0.363	11	2
YER143W	DDI1	0.188839	0.346797	0.209	0.220	10	7
YER144C	UBP5	-0.330735	-0.404156	0.276	0.289	9	3
YER145C	FTR1	0.969377	1.152100	0.229	0.240	11	6
YER146W	LSM5	0.772129	0.370585	0.252	0.365	10	4
YER147C	SCC4	-0.489386	-0.307743	0.276	0.321	10	4
YER148W	SPT15	1.018388	0.819593	0.212	0.232	12	5
YER149C	PEA2	-0.101522	0.299458	0.277	0.239	9	5
YER150W	SPI1	-0.241336	-0.608938	0.270	0.368	11	0
YER151C	UBP3	0.194909	0.655332	0.265	0.216	7	8
YER152C		0.527257	0.327380	0.253	0.247	12	4
YER153C	PET122	-0.715673	-0.705956	0.276	0.300	9	1
YER154W	OXA1	0.717303	0.864139	0.260	0.252	11	5
YER155C	BEM2	0.574800	0.611685	0.222	0.213	12	7
YER156C		1.021808	0.903197	0.228	0.232	12	9
YER157W	COG3	-0.102565	0.329668	0.223	0.221	9	5
YER158C		-0.699646	-0.622281	0.289	0.365	10	2
YER159C	BUR6	0.904484	0.858379	0.246	0.230	11	7
YER159C-A		NA	NA	NA	NA	0	0
YER160C		0.215011	-0.277417	0.294	0.394	7	0
YER161C	SPT2	0.192035	0.309736	0.232	0.233	11	5
YER162C	RAD4	-0.503834	-0.314722	0.223	0.234	11	4
YER163C	GCG1	0.257958	0.171611	0.256	0.288	12	4
YER164W	CHD1	0.447313	0.494270	0.238	0.235	12	7
YER165W	PAB1	1.874475	2.390109	0.267	0.236	11	11
YER166W	DNF1	0.169107	0.283714	0.241	0.244	10	3
YER167W	BCK2	0.058743	-0.204631	0.257	0.373	11	2
YER168C	CCA1	0.205544	0.699394	0.268	0.244	10	6
YER169W	RPH1	-0.015686	0.027957	0.260	0.285	10	4
YER170W	ADK2	-0.390341	-0.367908	0.261	0.314	10	3
YER171W	RAD3	0.063111	0.401598	0.276	0.316	10	5
YER172C	BRR2	-0.034822	0.248521	0.245	0.238	9	5
YER173W	RAD24	-0.391236	-0.427872	0.254	0.323	12	1
YER174C	GRX4	0.208868	0.295906	0.260	0.219	10	5
YER175C	TMT1	-0.288289	-0.147353	0.264	0.294	10	4
YER175W-A		-2.148219	-2.151076	0.391	0.469	4	0
YER176W	ECM32	0.135504	0.284440	0.224	0.214	11	5
YER177W	BMH1	2.540950	2.432919	0.234	0.221	11	10
YER178W	PDA1	1.842090	1.631215	0.269	0.240	12	9
YER179W	DMC1	-1.305931	-1.352694	0.288	0.432	10	0
YER180C	ISC10	-0.614963	-0.891143	0.282	0.382	10	0
YER180C-A	SLO1	-1.775943	-1.612959	0.374	0.444	4	1
YER182W	FMP10	-0.085069	0.042812	0.287	0.308	9	4
YER183C	FAU1	-0.032704	-0.173981	0.304	0.296	10	4
YER184C	TOG1	-1.124339	-1.276102	0.312	0.410	9	0
YER185W	PUG1	-1.453308	-1.402751	0.297	0.444	9	1
YER186C		-0.142603	-0.499400	0.250	0.356	11	0
YER187W		-0.548367	-0.784392	0.299	0.402	8	1
YER188C-A		-2.305609	-2.274113	0.337	0.441	2	0
YER189W		-1.763315	-1.721294	0.322	0.427	4	0
YER190C-B		NA	NA	NA	NA	0	0
YER190W	YRF1-2	-0.837289	-1.051120	0.322	0.440	5	0
YFL001W	DEG1	0.113628	0.381218	0.274	0.228	11	5
YFL002C	SPB4	0.381073	0.513221	0.213	0.245	13	5
YFL002W-A		-2.771951	-2.670404	0.366	0.502	1	0
YFL002W-B		NA	NA	NA	NA	0	0
YFL003C	MSH4	-0.996000	-1.093464	0.345	0.389	8	0
YFL004W	VTC2	0.920932	0.854690	0.263	0.219	12	8
YFL005W	SEC4	1.000251	0.675345	0.225	0.308	13	5
YFL007W	BLM10	0.062203	0.230613	0.270	0.212	10	6
YFL008W	SMC1	-0.057821	0.428628	0.251	0.251	11	5
YFL009W	CDC4	0.083077	-0.184481	0.256	0.307	13	2
YFL010C	WWM1	1.009723	0.788033	0.271	0.259	11	7
YFL010W-A	AUA1	-1.535715	-1.532685	0.325	0.376	3	0
YFL011W	HXT10	-1.949830	-1.780062	0.367	0.479	7	1
YFL012W		-1.735097	-1.707212	0.323	0.391	7	0
YFL013C	IES1	0.112008	0.259665	0.257	0.242	11	5
YFL014W	HSP12	0.373971	0.577978	0.225	0.243	12	7
YFL016C	MDJ1	0.610164	0.749506	0.254	0.245	12	8
YFL017C	GNA1	0.359638	0.313000	0.306	0.306	10	6
YFL017W-A	SMX2	0.086014	0.357240	0.252	0.244	5	3
YFL018C	LPD1	1.268005	1.485760	0.199	0.244	13	9
YFL020C	PAU5	-1.393986	-1.475195	0.322	0.477	10	0
YFL021W	GAT1	0.197868	0.158336	0.260	0.270	13	4
YFL022C	FRS2	1.340638	1.039441	0.272	0.372	12	8
YFL023W	BUD27	-0.013040	0.224632	0.217	0.223	11	5
YFL024C	EPL1	-0.167207	-0.164160	0.257	0.311	11	4
YFL025C	BST1	-0.292541	-0.574348	0.330	0.407	11	1
YFL026W	STE2	1.289513	1.103068	0.249	0.231	13	4
YFL027C	GYP8	-0.167310	-0.278032	0.240	0.299	11	3
YFL028C	CAF16	0.451146	0.352179	0.236	0.287	13	7
YFL029C	CAK1	-0.383072	-0.448723	0.278	0.322	10	3
YFL030W	AGX1	-0.824038	-0.643301	0.280	0.318	9	4
YFL031W	HAC1	1.294454	0.752490	0.222	0.305	12	1
YFL033C	RIM15	-0.197518	-0.342942	0.309	0.353	12	4
YFL034C-A	RPL22B	0.873002	1.490735	0.271	0.230	6	8
YFL034C-B	MOB2	-0.419705	-0.041781	0.272	0.257	7	5
YFL034W		-0.223608	-0.083575	0.247	0.300	12	3
YFL036W	RPO41	0.450599	1.057331	0.274	0.268	12	6
YFL037W	TUB2	1.366249	1.110406	0.290	0.311	12	8
YFL038C	YPT1	1.379642	0.878710	0.236	0.340	13	6
YFL039C	ACT1	2.654940	2.180206	0.274	0.364	13	7
YFL040W		-1.698851	-1.705715	0.314	0.449	7	0
YFL041W	FET5	0.362120	0.604581	0.230	0.230	13	6
YFL041W-A		-1.747494	-1.779716	0.371	0.453	4	0
YFL042C		-0.458740	-0.604139	0.280	0.397	11	3
YFL044C	OTU1	0.044964	0.118574	0.281	0.287	12	4
YFL045C	SEC53	1.497106	1.073656	0.281	0.305	12	8
YFL046W	FMP32	0.026199	-0.319214	0.249	0.337	12	2
YFL047W	RGD2	0.047909	0.216567	0.269	0.218	11	5
YFL048C	EMP47	0.705772	0.878571	0.239	0.190	12	8
YFL049W	SWP82	0.029639	0.205158	0.217	0.275	12	4
YFL050C	ALR2	-0.656109	-0.340469	0.286	0.322	11	2
YFL051C		-1.437317	-1.498102	0.262	0.415	8	0
YFL052W		-1.694688	-1.725724	0.322	0.432	7	0
YFL053W	DAK2	-1.380506	-1.338896	0.322	0.374	10	1
YFL054C		-0.981069	-1.132383	0.310	0.398	11	0
YFL055W	AGP3	-1.109401	-1.282580	0.308	0.424	8	0
YFL056C	AAD6	-1.211649	-1.277841	0.308	0.385	8	0
YFL057C	NA	-0.345110	-0.688768	0.291	0.406	11	0
YFL058W	THI5	-1.962118	-1.993783	0.309	0.419	7	0
YFL059W	SNZ3	-0.930292	-0.944455	0.295	0.424	11	1
YFL060C	SNO3	-1.379039	-1.175279	0.277	0.337	8	1
YFL061W	DDI2	-2.539066	-2.473233	0.314	0.413	4	0
YFL062W	COS4	-0.640558	-0.817079	0.275	0.405	8	1
YFL064C		-1.258479	-1.429086	0.314	0.440	7	0
YFL065C		-1.940317	-1.933823	0.336	0.485	5	0
YFL066C		-0.622005	-0.802480	0.331	0.416	8	0
YFL067W		-1.322493	-1.471078	0.340	0.445	6	0
YFL068W		-1.782758	-1.769989	0.333	0.452	3	0
YFR001W	LOC1	0.446946	0.555639	0.252	0.208	11	6
YFR002W	NIC96	0.507782	0.868773	0.240	0.260	12	7
YFR003C	YPI1	0.122448	-0.103261	0.259	0.279	11	2
YFR004W	RPN11	1.189658	1.304742	0.246	0.251	13	6
YFR005C	SAD1	-0.262181	-0.535537	0.288	0.303	10	3
YFR006W		0.539477	0.409565	0.254	0.298	13	7
YFR007W	YFH7	-0.562007	-0.577966	0.276	0.392	11	4
YFR008W	FAR7	-0.843733	-0.640966	0.281	0.352	10	3
YFR009W	GCN20	1.009252	1.325520	0.271	0.237	13	7
YFR010W	UBP6	0.753979	0.569156	0.224	0.245	13	8
YFR011C	MIC19	0.577198	0.675768	0.226	0.239	11	6
YFR012W	DCV1	-1.782917	-1.728220	0.305	0.436	7	0
YFR012W-A		-2.264210	-2.164635	0.353	0.468	2	0
YFR013W	IOC3	0.022560	0.211183	0.240	0.244	11	6
YFR014C	CMK1	0.170641	0.121330	0.248	0.287	12	5
YFR015C	GSY1	-0.060530	0.379626	0.273	0.245	13	8
YFR016C		0.063310	0.321951	0.256	0.237	11	6
YFR017C	IGD1	-0.043214	0.009086	0.241	0.243	12	4
YFR018C		0.101482	0.111280	0.282	0.301	12	2
YFR019W	FAB1	-0.642336	-0.698086	0.246	0.273	10	5
YFR021W	ATG18	-0.263465	0.078611	0.281	0.221	11	6
YFR022W	ROG3	-0.769602	-0.967373	0.276	0.377	10	0
YFR023W	PES4	-1.700191	-1.712150	0.313	0.435	8	1
YFR024C-A	LSB3	0.618205	0.812188	0.257	0.225	10	6
YFR025C	HIS2	0.133885	0.219125	0.254	0.277	12	5
YFR026C	ULI1	-0.731085	-0.557961	0.254	0.285	11	1
YFR027W	ECO1	-1.383786	-1.480673	0.276	0.361	9	0
YFR028C	CDC14	0.255008	0.417370	0.245	0.243	12	6
YFR029W	PTR3	-0.498662	-0.633504	0.264	0.377	11	1
YFR030W	MET10	0.099245	0.145423	0.206	0.224	12	7
YFR031C	SMC2	-0.017652	0.115186	0.267	0.273	12	4
YFR031C-A	RPL2A	2.225448	1.884064	0.207	0.234	10	3
YFR032C	RRT5	-1.506148	-1.573156	0.363	0.481	7	0
YFR032C-A	RPL29	2.076212	2.098581	0.272	0.229	9	6
YFR032C-B		-1.779965	-1.801202	0.368	0.480	3	0
YFR033C	QCR6	1.104677	0.877387	0.227	0.190	13	5
YFR034C	PHO4	-0.013436	-0.209553	0.267	0.374	12	2
YFR035C		-1.092849	-1.185563	0.289	0.428	9	0
YFR036W	CDC26	-0.285196	-0.621009	0.288	0.453	11	0
YFR037C	RSC8	0.829549	0.907931	0.229	0.227	12	8
YFR038W	IRC5	-0.303858	-0.407011	0.252	0.331	10	2
YFR039C	OSW7	-0.053793	0.101886	0.248	0.276	10	6
YFR040W	SAP155	0.371733	0.618403	0.269	0.212	12	7
YFR041C	ERJ5	0.110140	0.284735	0.238	0.268	12	4
YFR042W	KEG1	-0.286890	-0.516974	0.268	0.319	11	1
YFR043C	IRC6	-0.464900	-0.594267	0.281	0.366	11	2
YFR044C	DUG1	1.496921	1.451492	0.263	0.235	13	10
YFR045W		-0.672792	-0.670709	0.297	0.387	9	3
YFR046C	CNN1	-0.698736	-0.476261	0.262	0.307	8	2
YFR047C	BNA6	0.519059	0.312707	0.233	0.231	13	7
YFR048W	RMD8	0.047816	0.110066	0.265	0.226	12	4
YFR049W	YMR31	0.224372	0.407330	0.243	0.237	11	6
YFR050C	PRE4	1.392347	1.506342	0.252	0.195	13	7
YFR051C	RET2	1.226026	1.345132	0.256	0.229	13	6
YFR052W	RPN12	0.974923	1.251523	0.249	0.191	12	7
YFR053C	HXK1	1.191932	1.211139	0.254	0.228	12	9
YFR055W	IRC7	0.257316	0.070575	0.259	0.309	11	1
YFR057W		-2.376926	-2.274933	0.360	0.513	6	0
YGL001C	ERG26	0.878763	0.915252	0.238	0.210	13	6
YGL002W	ERP6	0.125832	-0.256489	0.298	0.358	12	1
YGL003C	CDH1	-0.657285	-0.754174	0.315	0.363	10	1
YGL004C	RPN14	-0.175171	0.064178	0.265	0.207	11	5
YGL005C	COG7	0.053279	0.024909	0.251	0.283	12	3
YGL006W	PMC1	0.004641	-0.383442	0.230	0.327	13	5
YGL006W-A		-2.493646	-2.318446	0.347	0.452	3	0
YGL007C-A		-1.969560	-1.859879	0.318	0.373	4	0
YGL008C	PMA1	2.716905	2.588587	0.262	0.234	13	5
YGL009C	LEU1	1.685136	2.028954	0.251	0.267	11	9
YGL010W	MPO1	-0.251049	-0.197342	0.293	0.214	11	2
YGL011C	SCL1	1.471481	1.578179	0.251	0.234	13	9
YGL012W	ERG4	1.331674	1.011398	0.211	0.237	13	6
YGL013C	PDR1	0.154614	0.076170	0.230	0.296	12	4
YGL014W	PUF4	0.580355	0.535714	0.256	0.232	12	7
YGL015C		-1.584650	-1.634234	0.314	0.460	8	0
YGL016W	KAP122	0.113530	0.491306	0.252	0.276	10	7
YGL017W	ATE1	-0.235050	-0.030200	0.257	0.297	11	4
YGL018C	JAC1	-0.587412	-0.135518	0.277	0.309	10	5
YGL019W	CKB1	0.728115	0.782742	0.241	0.242	13	6
YGL020C	GET1	0.635661	0.786318	0.241	0.221	11	5
YGL021W	ALK1	-0.016465	-0.010007	0.280	0.271	10	4
YGL022W	STT3	0.959211	0.922498	0.268	0.225	13	6
YGL023C	PIB2	0.023314	-0.146387	0.289	0.355	10	4
YGL025C	PGD1	-0.246176	-0.210149	0.263	0.298	11	3
YGL026C	TRP5	1.535120	1.622261	0.235	0.232	13	10
YGL027C	CWH41	0.242305	0.304884	0.237	0.287	12	5
YGL028C	SCW11	0.738332	0.750788	0.270	0.248	10	4
YGL029W	CGR1	0.496153	0.642103	0.241	0.217	11	4
YGL030W	RPL30	2.060540	1.722086	0.251	0.289	11	8
YGL031C	RPL24A	2.531850	2.375242	0.278	0.232	11	7
YGL032C	AGA2	0.660069	0.260001	0.265	0.302	11	2
YGL033W	HOP2	-2.315531	-2.273656	0.293	0.471	7	0
YGL035C	MIG1	0.292728	0.243172	0.255	0.208	11	5
YGL036W		-0.060442	-0.221048	0.243	0.292	10	3
YGL037C	PNC1	1.614665	1.368312	0.254	0.225	13	8
YGL038C	OCH1	0.294465	0.570620	0.222	0.244	12	4
YGL039W		0.411130	0.404665	0.263	0.251	12	7
YGL040C	HEM2	1.032001	1.160357	0.243	0.222	13	8
YGL041C-B		-1.891600	-1.873470	0.347	0.453	4	0
YGL041W-A		-1.180191	-0.888737	0.364	0.411	3	3
YGL043W	DST1	0.403585	0.732606	0.256	0.233	10	6
YGL044C	RNA15	0.219025	0.287750	0.243	0.291	11	4
YGL045W	RIM8	-0.599197	-0.486031	0.265	0.293	11	3
YGL047W	ALG13	-0.062022	-0.015367	0.269	0.327	11	4
YGL048C	RPT6	1.255909	1.305656	0.253	0.231	13	7
YGL049C	TIF4632	0.470035	0.826096	0.273	0.202	12	8
YGL050W	TYW3	0.070808	0.189482	0.262	0.273	11	4
YGL051W	MST27	-1.117556	-1.296892	0.310	0.442	10	0
YGL053W	PRM8	-0.287286	-0.358329	0.260	0.279	11	1
YGL054C	ERV14	1.335561	1.241064	0.241	0.239	12	4
YGL055W	OLE1	1.656655	1.301112	0.267	0.290	13	7
YGL056C	SDS23	0.358271	0.802239	0.238	0.243	11	6
YGL057C	GEP7	-0.771414	-0.742243	0.269	0.356	10	2
YGL058W	RAD6	0.554334	0.740629	0.253	0.236	12	5
YGL059W	PKP2	-0.593876	-0.541801	0.252	0.322	12	3
YGL060W	YBP2	-0.030392	0.076270	0.285	0.275	11	3
YGL061C	DUO1	-0.224259	0.121577	0.265	0.242	11	5
YGL062W	PYC1	0.764875	1.244956	0.235	0.191	13	9
YGL063W	PUS2	-0.711136	-0.902320	0.267	0.403	10	0
YGL064C	MRH4	-0.438304	-0.281697	0.272	0.336	11	4
YGL065C	ALG2	0.045875	0.180119	0.255	0.247	11	5
YGL066W	SGF73	-0.337867	-0.271372	0.276	0.310	11	5
YGL067W	NPY1	0.284159	0.171624	0.240	0.226	13	5
YGL068W	MNP1	0.885641	0.979238	0.235	0.247	12	7
YGL070C	RPB9	0.637538	0.778645	0.202	0.237	13	5
YGL071W	AFT1	0.043802	-0.036290	0.274	0.293	11	1
YGL073W	HSF1	-0.037631	-0.220201	0.266	0.338	10	3
YGL075C	MPS2	-0.819787	-0.229770	0.291	0.263	8	3
YGL076C	RPL7A	2.428973	2.262067	0.237	0.237	12	6
YGL077C	HNM1	0.602695	0.717299	0.247	0.261	13	3
YGL078C	DBP3	1.237775	1.424891	0.262	0.243	13	7
YGL079W	KXD1	0.084389	-0.078809	0.267	0.294	12	2
YGL080W	MPC1	0.635761	0.278985	0.237	0.259	13	5
YGL081W		-1.518951	-1.585128	0.287	0.437	10	0
YGL082W		0.514983	0.627439	0.263	0.227	11	6
YGL083W	SCY1	-0.028201	0.091368	0.286	0.259	12	4
YGL084C	GUP1	0.237699	0.273702	0.259	0.222	12	4
YGL085W	LCL3	-0.580572	-0.603571	0.244	0.330	10	1
YGL086W	MAD1	0.057502	0.029267	0.241	0.280	12	5
YGL087C	MMS2	0.664396	0.610357	0.240	0.257	13	6
YGL089C	MF(ALPHA)2	-0.351600	-0.659407	0.297	0.412	9	0
YGL090W	LIF1	-0.730920	-0.482329	0.261	0.314	9	2
YGL091C	NBP35	0.294986	-0.003483	0.220	0.344	12	2
YGL092W	NUP145	0.356129	0.685306	0.305	0.226	11	7
YGL093W	SPC105	-0.381091	-0.347051	0.296	0.355	10	2
YGL094C	PAN2	-0.024707	0.001026	0.271	0.340	11	5
YGL095C	VPS45	0.089845	0.309121	0.233	0.249	11	5
YGL096W	TOS8	-0.647018	-0.854466	0.288	0.438	12	0
YGL097W	SRM1	0.880354	1.133099	0.263	0.235	12	8
YGL098W	USE1	0.099014	0.141888	0.241	0.235	12	4
YGL099W	LSG1	0.636532	1.049549	0.273	0.255	12	9
YGL100W	SEH1	0.600709	0.255675	0.258	0.272	13	4
YGL101W		0.472536	0.499247	0.250	0.234	13	5
YGL103W	RPL28	2.617343	1.868665	0.273	0.358	12	7
YGL104C	VPS73	-0.655816	-0.929240	0.309	0.385	12	0
YGL105W	ARC1	2.108997	2.019020	0.219	0.244	13	9
YGL106W	MLC1	1.129669	0.866147	0.271	0.327	12	5
YGL107C	RMD9	0.386639	0.623244	0.258	0.240	10	6
YGL108C		-0.071978	0.040215	0.278	0.291	10	3
YGL110C	CUE3	-0.113896	0.294611	0.235	0.225	11	4
YGL111W	NSA1	0.572276	0.532095	0.265	0.254	13	6
YGL112C	TAF6	0.406832	0.495600	0.270	0.224	12	5
YGL113W	SLD3	-0.649541	-0.769211	0.289	0.318	11	1
YGL114W		-0.100379	-0.369397	0.292	0.360	12	1
YGL115W	SNF4	0.748992	0.852047	0.296	0.205	13	5
YGL116W	CDC20	-0.218902	-0.124202	0.257	0.272	11	3
YGL117W		-0.151187	-0.390487	0.248	0.284	12	3
YGL119W	COQ8	0.040638	0.092658	0.277	0.263	12	5
YGL120C	PRP43	0.875061	1.142918	0.287	0.234	10	7
YGL121C	GPG1	-0.389120	-0.481635	0.299	0.376	11	1
YGL122C	NAB2	0.996572	1.218178	0.255	0.237	12	6
YGL123W	RPS2	2.723055	2.007034	0.284	0.362	13	7
YGL124C	MON1	-0.292476	-0.395455	0.298	0.386	11	3
YGL125W	MET13	-0.004058	0.328866	0.269	0.334	13	6
YGL126W	SCS3	0.592855	0.323893	0.276	0.222	13	4
YGL127C	SOH1	0.209719	0.048410	0.244	0.247	12	2
YGL128C	CWC23	-0.654275	-0.761694	0.271	0.364	10	1
YGL129C	RSM23	0.374934	0.463782	0.240	0.235	11	6
YGL130W	CEG1	0.235713	0.175903	0.268	0.228	11	6
YGL131C	SNT2	-0.741201	-0.866442	0.284	0.433	10	1
YGL133W	ITC1	-0.097598	0.135299	0.265	0.227	10	5
YGL134W	PCL10	-0.479820	-0.645480	0.250	0.321	11	1
YGL135W	RPL1B	2.198045	2.289915	0.272	0.226	11	4
YGL136C	MRM2	-0.406736	-0.611299	0.281	0.424	11	1
YGL137W	SEC27	1.259445	1.622971	0.210	0.246	13	8
YGL138C		-1.961599	-1.860875	0.299	0.374	8	0
YGL139W	FLC3	0.072305	0.007264	0.239	0.237	11	3
YGL140C		0.110179	0.109595	0.222	0.226	12	5
YGL141W	HUL5	-0.075382	-0.044308	0.246	0.337	11	3
YGL142C	GPI10	-0.144553	-0.376763	0.251	0.338	12	2
YGL143C	MRF1	-0.410370	-0.473364	0.246	0.280	11	2
YGL144C	ROG1	-1.051623	-1.171185	0.297	0.387	11	1
YGL145W	TIP20	0.240476	0.410875	0.250	0.218	11	5
YGL146C	RRT6	-1.475717	-1.531150	0.286	0.397	10	0
YGL147C	RPL9A	2.304004	2.201954	0.256	0.239	12	9
YGL148W	ARO2	1.544791	1.272844	0.243	0.230	13	9
YGL150C	INO80	0.334506	0.451210	0.254	0.240	12	6
YGL151W	NUT1	0.229090	0.334989	0.243	0.252	11	7
YGL153W	PEX14	0.144429	0.256315	0.250	0.237	12	8
YGL154C	LYS5	-0.564970	-0.591209	0.281	0.286	11	1
YGL155W	CDC43	0.086813	0.082052	0.310	0.317	10	2
YGL156W	AMS1	-0.439244	-0.453775	0.238	0.316	13	5
YGL157W	ARI1	0.877490	0.860781	0.235	0.212	13	8
YGL158W	RCK1	-1.590611	-1.451468	0.353	0.460	7	1
YGL159W		-0.109873	-0.341782	0.253	0.301	10	4
YGL160W	AIM14	-0.254676	-0.368273	0.242	0.331	11	2
YGL161C	YIP5	0.656613	0.275922	0.276	0.289	13	3
YGL162W	SUT1	-0.207210	-0.268540	0.273	0.297	12	2
YGL163C	RAD54	-0.551993	-0.885081	0.255	0.342	12	0
YGL164C	YRB30	0.028900	0.272839	0.259	0.232	9	5
YGL166W	CUP2	-0.160760	-0.239891	0.265	0.283	11	1
YGL167C	PMR1	0.934168	1.090630	0.238	0.204	12	7
YGL168W	HUR1	-0.304779	-0.693702	0.296	0.393	9	0
YGL169W	SUA5	-0.160235	0.037878	0.245	0.243	11	5
YGL170C	SPO74	-1.834925	-1.858849	0.347	0.446	6	0
YGL171W	ROK1	0.121043	0.020926	0.258	0.340	11	5
YGL172W	NUP49	0.726445	0.781663	0.242	0.197	12	5
YGL173C	XRN1	1.216263	1.344368	0.280	0.212	13	9
YGL174W	BUD13	-0.331385	-0.125878	0.208	0.257	11	3
YGL175C	SAE2	-0.970157	-0.731964	0.282	0.334	8	1
YGL176C		-0.768636	-0.958810	0.266	0.401	11	0
YGL178W	MPT5	0.141413	0.225557	0.272	0.219	11	4
YGL179C	TOS3	-0.649004	-0.895278	0.303	0.427	12	0
YGL180W	ATG1	-0.704770	-0.423422	0.272	0.297	11	3
YGL181W	GTS1	0.411085	0.397129	0.258	0.250	12	5
YGL183C	MND1	-1.988985	-1.971031	0.335	0.471	8	0
YGL184C	STR3	-1.125309	-0.975108	0.311	0.382	9	2
YGL185C		-0.425789	-0.234908	0.265	0.258	11	3
YGL186C	TPN1	0.233845	-0.140213	0.276	0.368	13	1
YGL187C	COX4	0.783568	0.962104	0.249	0.224	12	7
YGL188C-A		-1.869114	-1.904928	0.395	0.526	3	0
YGL189C	RPS26A	2.552304	2.196458	0.222	0.245	12	7
YGL190C	CDC55	0.418925	0.613607	0.252	0.230	12	8
YGL191W	COX13	0.625375	0.205288	0.263	0.396	12	4
YGL192W	IME4	-0.878448	-1.039131	0.260	0.354	10	0
YGL193C		-0.124344	-0.543732	0.289	0.424	12	0
YGL194C	HOS2	-0.442866	0.107822	0.246	0.226	11	5
YGL194C-A		-1.501708	-1.573745	0.343	0.461	4	0
YGL195W	GCN1	1.003447	1.250268	0.240	0.240	12	9
YGL196W	DSD1	-0.045586	-0.262586	0.285	0.339	12	3
YGL197W	MDS3	-0.109583	-0.200942	0.248	0.304	10	7
YGL198W	YIP4	0.237252	-0.176291	0.310	0.379	11	1
YGL200C	EMP24	1.588073	1.516230	0.231	0.216	13	5
YGL201C	MCM6	0.041939	0.574759	0.244	0.211	10	6
YGL202W	ARO8	1.567261	1.429284	0.230	0.223	13	10
YGL203C	KEX1	0.542715	0.828921	0.261	0.245	12	5
YGL205W	POX1	-1.787392	-1.723144	0.311	0.504	8	0
YGL206C	CHC1	0.784773	1.465518	0.251	0.254	10	9
YGL207W	SPT16	0.973320	1.304885	0.252	0.229	13	7
YGL208W	SIP2	-0.591777	-0.543432	0.290	0.338	11	3
YGL209W	MIG2	0.185122	-0.098909	0.241	0.278	12	3
YGL210W	YPT32	0.420748	0.603343	0.242	0.239	12	5
YGL211W	NCS6	-0.097373	-0.360036	0.230	0.399	12	3
YGL212W	VAM7	-0.382324	0.134996	0.245	0.239	11	5
YGL213C	SKI8	0.441477	0.488489	0.288	0.266	12	5
YGL215W	CLG1	0.760310	0.089306	0.250	0.349	13	0
YGL216W	KIP3	0.170935	0.203933	0.272	0.227	12	4
YGL219C	MDM34	0.065036	-0.302851	0.239	0.290	12	2
YGL220W	FRA2	0.939115	0.540095	0.215	0.238	13	5
YGL221C	NIF3	0.857305	0.655474	0.246	0.252	13	8
YGL222C	EDC1	-0.304841	0.106628	0.278	0.243	8	2
YGL223C	COG1	0.135640	0.251385	0.261	0.239	11	4
YGL224C	SDT1	0.142970	0.019696	0.248	0.354	13	5
YGL225W	VRG4	1.390746	1.549257	0.224	0.230	12	4
