# mRNA and protein levels, scaled to (average) molecules per haploid cell, sampled according to mean and variance of SCM estimates, for haploid budding yeast (S.cerevisiae) growing exponentially in rich medium with glucose 
#
# Generated Tue Apr 07 00:00:36 2015 
#
# Citation:
#   "Accounting for experimental noise reveals that transcript levels,
#   amplified by post-transcriptional regulation, largely determine steady-state protein levels in yeast,"
#   Gábor Csárdi, Alexander Franks, David S. Choi, Eduardo M. Airoldi, and D. Allan Drummond, PLoS Genetics, 2015
#
# orf = Systematic yeast ORF (open reading frame) identifier
# gene = Common gene name
# mrna = Messenger RNA level
# prot = Protein level
# n.mrna = Number of mRNA-level measurements
# n.prot = Number of protein-level measurements
orf	gene	mrna	prot	n.mrna	n.prot
YDR447C	RPS17B	41.6290	172035.6081	13	3
YDR448W	ADA2	3.4032	678.2458	10	4
YDR449C	UTP6	6.3685	2409.3654	11	6
YDR450W	RPS18A	18.4328	58036.8509	12	5
YDR451C	YHP1	2.1671	719.7434	12	1
YDR452W	PPN1	2.4168	1537.8693	13	3
YDR453C	TSA2	4.8642	1679.3722	13	7
YDR454C	GUK1	23.4453	14023.5473	12	9
YDR456W	NHX1	4.6011	1272.7197	13	3
YDR457W	TOM1	3.0037	1657.4614	13	7
YDR458C	HEH2	3.1352	2396.7650	12	6
YDR459C	PFA5	2.9814	1123.7937	13	0
YDR460W	TFB3	4.5093	584.3346	12	4
YDR461C-A		0.5725	15.0485	4	0
YDR461W	MFA1	27.0383	26684.7752	11	2
YDR462W	MRPL28	11.1413	1121.0690	13	4
YDR463W	STP1	4.2699	752.4319	12	3
YDR464W	SPP41	3.1838	1389.7753	12	5
YDR465C	RMT2	5.1684	2528.1159	10	5
YDR466W	PKH3	1.8828	404.5639	10	2
YDR468C	TLG1	2.9802	1190.2975	12	3
YDR469W	SDC1	2.1832	383.6403	11	3
YDR470C	UGO1	1.3256	126.1033	12	2
YDR471W	RPL27B	32.3567	76915.0714	12	5
YDR472W	TRS31	8.7712	1773.2621	10	5
YDR473C	PRP3	2.9759	378.4490	10	3
YDR475C	JIP4	2.4945	475.3134	9	2
YDR476C		5.9476	2554.7239	12	5
YDR477W	SNF1	6.6647	1531.2910	12	6
YDR478W	SNM1	1.6743	556.8468	9	2
YDR479C	PEX29	4.1530	1207.2483	12	2
YDR480W	DIG2	1.4954	383.3883	11	3
YDR481C	PHO8	7.8982	4415.5258	13	7
YDR482C	CWC21	2.6312	204.8726	11	3
YDR483W	KRE2	15.7525	8864.5271	13	8
YDR484W	VPS52	2.4422	262.5898	11	5
YDR485C	VPS72	2.6405	528.6896	11	5
YDR486C	VPS60	4.9133	1470.1047	13	4
YDR487C	RIB3	15.2704	13820.6055	12	9
YDR488C	PAC11	1.0964	51.4929	12	1
YDR489W	SLD5	1.3871	338.8555	12	2
YDR490C	PKH1	2.0984	221.1032	11	5
YDR492W	IZH1	2.7160	972.4569	12	2
YDR493W	MZM1	1.6808	553.8116	12	3
YDR494W	RSM28	2.1689	569.5105	11	2
YDR495C	VPS3	1.2392	74.8154	9	3
YDR496C	PUF6	14.1825	3566.3116	12	7
YDR497C	ITR1	11.3997	9022.9699	13	5
YDR498C	SEC20	14.8460	3962.0031	12	3
YDR499W	LCD1	3.2211	408.1913	11	4
YDR500C	RPL37B	51.4135	196979.0401	13	6
YDR501W	PLM2	1.0360	80.4583	9	0
YDR502C	SAM2	17.8638	7496.4113	13	9
YDR503C	LPP1	2.1831	348.8896	12	4
YDR504C	SPG3	1.7159	1307.7642	11	1
YDR505C	PSP1	1.8170	708.2794	11	5
YDR506C	GMC1	1.7436	116.1484	12	1
YDR507C	GIN4	7.2645	1956.0106	11	5
YDR508C	GNP1	41.5029	18520.5247	13	5
YDR510W	SMT3	27.4590	29854.2312	12	7
YDR511W	SDH7	1.0842	758.2848	11	4
YDR512C	EMI1	3.9012	1465.3105	10	2
YDR513W	GRX2	13.2860	11404.5717	11	7
YDR514C		1.0288	310.7004	12	3
YDR515W	SLF1	5.0389	223.2309	11	7
YDR516C	EMI2	7.1978	3421.2330	13	8
YDR517W	GRH1	5.5458	5365.8004	13	6
YDR518W	EUG1	2.3615	973.9180	12	5
YDR519W	FPR2	8.9438	4277.8520	12	6
YDR520C	URC2	1.8406	665.0627	13	2
YDR522C	SPS2	0.4436	40.7850	8	1
YDR523C	SPS1	0.6519	53.4904	8	0
YDR524C	AGE1	2.2616	265.7900	11	4
YDR524C-B		2.4830	515.5542	4	0
YDR524W-C		0.4060	36.7742	4	0
YDR525W-A	SNA2	10.0435	885.9075	8	2
YDR527W	RBA50	2.6296	353.9723	12	4
YDR528W	HLR1	2.1697	275.9459	11	2
YDR529C	QCR7	15.2074	25765.3584	13	8
YDR530C	APA2	3.7756	370.6627	12	5
YDR531W	CAB1	9.9806	3870.1710	11	4
YDR532C	KRE28	2.1356	195.7658	8	3
YDR533C	HSP31	3.5478	1499.1830	11	6
YDR534C	FIT1	2.9253	438.6560	11	0
YDR536W	STL1	0.4434	97.3055	9	0
YDR538W	PAD1	2.7130	898.0431	11	3
YDR539W	FDC1	4.1607	527.9505	12	6
YDR540C	IRC4	1.1622	72.1541	9	2
YDR541C		1.6589	620.8535	13	2
YDR542W	PAU10	0.8192	160.9068	6	0
YDR545W	YRF1-1	1.2579	253.3734	5	0
YEL001C	IRC22	13.6059	2669.3228	11	5
YEL002C	WBP1	14.8251	10716.5878	12	6
YEL003W	GIM4	5.9671	2236.1080	9	5
YEL004W	YEA4	0.4627	116.9876	10	1
YEL005C	VAB2	0.6146	74.5213	9	0
YEL006W	YEA6	1.2802	491.8065	10	3
YEL007W	MIT1	5.3198	2191.1245	9	5
YEL009C	GCN4	15.8965	25845.2193	12	2
YEL011W	GLC3	4.1652	1103.9727	12	6
YEL012W	UBC8	5.1082	912.1548	11	5
YEL013W	VAC8	9.5480	5121.5482	12	7
YEL015W	EDC3	6.0545	3217.7753	10	7
YEL016C	NPP2	0.7518	114.1241	9	0
YEL017C-A	PMP2	23.4404	22723.4011	9	2
YEL017W	GTT3	4.5138	727.2250	10	3
YEL018W	EAF5	3.2000	656.0097	11	3
YEL019C	MMS21	2.3999	62.6461	7	3
YEL020C		1.2938	210.6300	10	2
YEL020W-A	TIM9	3.1038	697.8206	5	2
YEL021W	URA3	3.9376	1727.9755	8	4
YEL022W	GEA2	8.1425	1538.7204	10	6
YEL023C		1.0546	88.6441	9	0
YEL024W	RIP1	2.2723	939.6934	11	7
YEL025C		1.1490	337.4876	10	1
YEL026W	SNU13	4.5466	7550.7502	9	7
YEL027W	VMA3	27.6045	53547.3091	10	5
YEL029C	BUD16	1.4499	274.2223	11	2
YEL030W	ECM10	2.2949	628.1047	9	4
YEL031W	SPF1	9.9353	2922.6663	10	8
YEL032W	MCM3	8.9517	5355.2143	9	7
YEL033W	MTC7	3.8131	5604.1248	9	0
YEL034W	HYP2	19.4014	33137.8237	10	6
YEL035C	UTR5	0.5047	27.1661	7	0
YEL036C	ANP1	14.0403	3677.2147	12	4
YEL037C	RAD23	8.3561	8182.8500	11	8
YEL038W	UTR4	5.6085	2537.5447	12	5
YEL039C	CYC7	3.1884	794.4149	9	4
YEL040W	UTR2	12.0425	8735.3259	12	3
YEL041W	YEF1	1.5589	319.8455	6	2
YEL042W	GDA1	6.8121	6820.9262	12	8
YEL043W		2.3012	1124.1312	10	4
YEL044W	IES6	4.5772	2038.8582	10	4
YEL046C	GLY1	26.7419	17750.3977	12	8
YEL047C	FRD1	10.4081	1450.6395	11	10
YEL048C	TCA17	4.6690	500.8250	9	4
YEL049W	PAU2	0.7389	153.6050	9	0
YEL050C	RML2	3.2930	1822.0375	10	4
YEL051W	VMA8	10.0387	2917.3114	11	8
YEL052W	AFG1	3.3941	841.2023	10	4
YEL053C	MAK10	6.6595	819.3526	10	3
YEL054C	RPL12A	32.1013	137945.3109	12	5
YEL055C	POL5	4.7234	1303.6481	9	7
YEL056W	HAT2	6.7862	2037.2668	11	4
YEL057C		0.9130	52.4574	9	0
YEL058W	PCM1	10.3530	2330.6809	11	7
YEL059C-A	SOM1	1.9905	417.6223	8	2
YEL060C	PRB1	7.4966	3742.5310	12	8
YEL061C	CIN8	0.9566	47.7652	9	3
YEL062W	NPR2	1.5246	423.2293	10	3
YEL063C	CAN1	13.8929	7620.1353	12	3
YEL064C	AVT2	0.3800	63.1218	10	0
YEL065W	SIT1	3.6189	1593.5160	10	2
YEL066W	HPA3	2.5263	591.4908	10	4
YEL067C		0.4015	43.9334	8	1
YEL069C	HXT13	0.2666	12.5013	7	0
YEL070W	DSF1	0.3775	37.0638	8	1
YEL071W	DLD3	14.3734	12710.9442	12	10
YEL072W	RMD6	0.6903	137.3364	10	0
YEL073C		0.6153	93.6529	10	0
YEL075C		0.7048	26.1717	4	0
YEL076C		0.3362	6.5715	4	0
YEL076C-A		0.1007	6.3481	3	0
YEL077C		0.9165	247.9269	10	0
YER001W	MNN1	2.4074	608.9583	8	4
YER002W	NOP16	11.4209	7732.4956	10	5
YER003C	PMI40	12.8200	5994.4750	12	8
YER004W	FMP52	8.7038	5106.1007	12	6
YER005W	YND1	2.2075	736.8496	9	3
YER006W	NUG1	10.5460	9129.1940	10	6
YER007C-A	TMA20	11.0440	6773.7941	11	8
YER007W	PAC2	1.5477	348.7733	10	3
YER008C	SEC3	4.3075	941.1508	11	6
YER009W	NTF2	11.0771	39700.0126	12	6
YER010C		4.3976	1349.9753	11	4
YER011W	TIR1	5.2391	2271.9872	12	2
YER012W	PRE1	15.9662	5651.5411	12	7
YER013W	PRP22	2.6513	549.0449	10	4
YER014C-A	BUD25	0.2663	6.6508	2	0
YER014W	HEM14	2.3857	335.4370	9	4
YER015W	FAA2	1.5036	255.0936	10	3
YER016W	BIM1	3.3205	566.5332	11	4
YER017C	AFG3	4.1357	1720.9619	10	6
YER018C	SPC25	3.1817	243.9643	9	3
YER019C-A	SBH2	7.6191	3820.5528	9	4
YER019W	ISC1	2.4850	975.4879	10	4
YER020W	GPA2	9.3838	5247.6511	12	7
YER021W	RPN3	5.7603	3622.1685	13	6
YER022W	SRB4	6.0945	2194.7779	10	5
YER023W	PRO3	18.8925	6186.7885	12	9
YER024W	YAT2	2.5673	129.1247	12	4
YER025W	GCD11	10.0253	16157.8354	12	8
YER026C	CHO1	1.8299	1934.8929	11	2
YER027C	GAL83	8.6587	1252.8319	12	7
YER028C	MIG3	1.0361	200.3123	11	0
YER029C	SMB1	6.2977	1179.2293	10	6
YER030W	CHZ1	5.2448	2090.2231	10	6
YER031C	YPT31	10.6586	4055.0401	12	5
YER032W	FIR1	1.0844	585.6876	11	1
YER033C	ZRG8	0.7867	92.8969	9	3
YER034W		1.6434	537.5631	11	6
YER035W	EDC2	3.0034	1483.8586	11	2
YER036C	ARB1	23.7737	6981.1807	12	8
YER037W	PHM8	1.7166	739.9873	10	3
YER038C	KRE29	0.8221	81.5135	9	0
YER039C	HVG1	0.6141	73.8355	9	0
YER039C-A		1.1680	452.5680	7	2
YER040W	GLN3	1.3698	247.8433	10	3
YER041W	YEN1	1.3985	699.8318	10	3
YER042W	MXR1	4.9728	4469.2037	10	7
YER043C	SAH1	50.5699	43883.8969	12	8
YER044C	ERG28	4.9246	1592.9402	11	5
YER044C-A	MEI4	0.4608	28.1868	5	0
YER045C	ACA1	1.8760	597.0879	11	0
YER046W	SPO73	1.4100	111.8042	9	0
YER047C	SAP1	1.4360	271.3546	9	5
YER048C	CAJ1	3.4145	2979.6485	11	5
YER048W-A	ISD11	8.6381	2885.8791	8	5
YER049W	TPA1	8.3358	3772.5597	10	7
YER050C	RSM18	2.5868	2275.3815	11	3
YER051W	JHD1	2.4875	244.9605	10	3
YER052C	HOM3	19.4321	3757.4177	12	8
YER053C	PIC2	4.4884	559.2937	12	1
YER053C-A		2.9524	283.4747	4	2
YER054C	GIP2	0.4926	50.3185	9	1
YER055C	HIS1	15.0568	13592.1990	12	7
YER056C	FCY2	16.1719	19786.1983	12	4
YER056C-A	RPL34A	33.9367	29477.4456	11	5
YER057C	HMF1	4.3042	3140.3722	11	7
YER058W	PET117	1.8691	378.1532	10	2
YER059W	PCL6	2.6290	472.1969	11	4
YER060W	FCY21	1.1198	373.2566	10	3
YER060W-A	FCY22	0.7749	173.4072	10	0
YER061C	CEM1	4.2226	1311.7414	10	4
YER062C	GPP2	13.5761	9420.4778	11	9
YER063W	THO1	5.9147	2493.4069	11	6
YER064C	VHR2	1.6683	1440.5465	11	1
YER065C	ICL1	2.5194	404.6799	10	3
YER066W	RRT13	0.3089	40.3180	11	0
YER067W	RGI1	9.6533	3318.9455	10	7
YER068W	MOT2	6.6677	1480.3057	10	6
YER069W	ARG5,6	3.6448	321.3583	10	6
YER070W	RNR1	48.5307	12226.9624	10	6
YER071C	TDA2	1.3268	563.4989	9	3
YER072W	VTC1	20.0167	26087.2931	10	6
YER073W	ALD5	10.9868	2273.7653	11	8
YER074W	RPS24A	27.5173	52735.9508	10	3
YER074W-A	YOS1	5.4970	1053.3193	6	1
YER075C	PTP3	1.1686	174.0260	10	4
YER076C		0.9727	419.3032	10	0
YER077C		0.9384	322.6281	11	4
YER078C	ICP55	3.0689	720.0568	11	4
YER078W-A		0.2409	4.9420	2	0
YER079W		2.5527	1032.6060	11	4
YER080W	AIM9	9.7766	3866.2757	12	7
YER081W	SER3	6.6910	2013.6156	10	6
YER082C	UTP7	6.3304	5002.1041	10	6
YER083C	GET2	4.9972	1930.5286	12	5
YER085C		0.5058	41.7923	5	0
YER086W	ILV1	15.5437	4480.8981	12	8
YER087C-B	SBH1	0.8635	454.5678	6	3
YER087W	AIM10	1.0907	248.8415	9	3
YER088C	DOT6	6.2367	8212.1947	12	5
YER089C	PTC2	5.1334	1848.7079	11	8
YER090W	TRP2	10.1951	3114.9869	11	9
YER091C	MET6	42.0946	25879.2826	11	11
YER092W	IES5	3.1501	1201.9275	10	4
YER093C	TSC11	1.1151	601.2766	10	2
YER093C-A	AIM11	3.7216	666.2058	9	3
YER094C	PUP3	4.3472	4013.1436	11	6
YER095W	RAD51	5.2446	626.3554	12	4
YER096W	SHC1	0.2377	10.3572	7	1
YER098W	UBP9	0.8479	57.4723	10	3
YER099C	PRS2	4.6138	1767.2892	12	7
YER100W	UBC6	4.3241	1085.9302	11	6
YER101C	AST2	2.6893	197.2490	10	3
YER102W	RPS8B	39.0650	180829.8485	11	4
YER103W	SSA4	5.0285	2132.6022	11	7
YER104W	RTT105	1.1345	167.3724	10	1
YER105C	NUP157	4.5048	1262.2127	11	5
YER106W	MAM1	0.4011	79.1888	8	1
YER107C	GLE2	5.0979	1194.9269	12	7
YER109C	FLO8	1.2715	229.1290	9	0
YER110C	KAP123	39.1988	20378.4391	10	9
YER111C	SWI4	2.0135	291.2795	10	4
YER112W	LSM4	5.0061	1044.9167	9	4
YER113C	TMN3	4.1161	1579.4380	10	3
YER114C	BOI2	4.3999	764.3571	11	5
YER115C	SPR6	1.8740	362.7250	10	0
YER116C	SLX8	0.6724	195.6859	11	0
YER117W	RPL23B	11.9489	31719.7303	11	2
YER118C	SHO1	2.1802	665.5068	11	4
YER119C	AVT6	1.5507	422.0237	12	0
YER120W	SCS2	13.5295	8164.6799	10	7
YER121W		0.4077	37.2606	9	0
YER122C	GLO3	7.9365	1082.4447	9	7
YER123W	YCK3	3.6585	1136.4647	10	6
YER124C	DSE1	5.5454	3169.3789	11	2
YER125W	RSP5	3.0278	1954.9821	11	4
YER126C	NSA2	10.3755	1890.5045	11	7
YER127W	LCP5	3.4434	579.1350	11	4
YER128W	VFA1	3.9368	490.3204	11	4
YER129W	SAK1	1.8568	150.1150	10	3
YER130C	COM2	2.0756	928.7453	11	0
YER131W	RPS26B	47.2394	87741.9345	12	5
YER132C	PMD1	3.5573	736.0460	11	3
YER133W	GLC7	31.2165	20791.7791	10	8
YER134C		7.6969	1242.5039	10	6
YER136W	GDI1	16.6825	6609.0455	12	9
YER137C		2.5061	145.2866	10	1
YER137C-A		NA	NA	0	0
YER138C		2.7588	722.6101	7	0
YER138W-A		0.6400	75.0205	4	0
YER139C	RTR1	5.0081	569.4718	10	4
YER140W	EMP65	1.1499	153.0214	11	0
YER141W	COX15	6.1641	1381.4764	11	5
YER142C	MAG1	1.7569	173.7812	11	2
YER143W	DDI1	4.2089	985.6431	10	7
YER144C	UBP5	3.0150	568.4484	9	3
YER145C	FTR1	17.2255	14554.4110	11	6
YER146W	LSM5	6.5212	7738.6272	10	4
YER147C	SCC4	1.0281	488.0830	10	4
YER148W	SPT15	4.3588	10493.1078	12	5
YER149C	PEA2	3.8578	378.4532	9	5
YER150W	SPI1	1.9448	1129.5635	11	0
YER151C	UBP3	6.3769	2198.1892	7	8
YER152C		4.9365	1613.5597	12	4
YER153C	PET122	1.3353	189.1809	9	1
YER154W	OXA1	6.1432	2785.0778	11	5
YER155C	BEM2	6.1603	2905.9054	12	7
YER156C		11.7571	19541.1503	12	9
YER157W	COG3	4.0375	434.1023	9	5
YER158C		1.6254	189.0714	10	2
YER159C	BUR6	8.2583	2013.4333	11	7
YER159C-A		NA	NA	0	0
YER160C		2.5400	1437.8071	7	0
YER161C	SPT2	3.3164	688.1925	11	5
YER162C	RAD4	1.5518	294.5510	11	4
YER163C	GCG1	2.9280	688.6715	12	4
YER164W	CHD1	8.5310	1353.2675	12	7
YER165W	PAB1	60.7529	18120.6144	11	11
YER166W	DNF1	5.0168	1317.3246	10	3
YER167W	BCK2	1.6929	413.3189	11	2
YER168C	CCA1	7.4278	474.5378	10	6
YER169W	RPH1	5.3681	971.4259	10	4
YER170W	ADK2	1.8689	160.9428	10	3
YER171W	RAD3	4.3692	1564.1060	10	5
YER172C	BRR2	5.7812	1052.7258	9	5
YER173W	RAD24	3.1672	685.0204	12	1
YER174C	GRX4	3.4134	322.6057	10	5
YER175C	TMT1	3.8112	852.6974	10	4
YER175W-A		0.1837	10.2156	4	0
YER176W	ECM32	3.7111	722.6330	11	5
YER177W	BMH1	60.6449	107407.8603	11	10
YER178W	PDA1	12.3267	18070.5957	12	9
YER179W	DMC1	0.5647	47.8361	10	0
YER180C	ISC10	0.5891	91.5272	10	0
YER180C-A	SLO1	0.4213	13.4974	4	1
YER182W	FMP10	2.9629	511.7916	9	4
YER183C	FAU1	2.3927	365.3943	10	4
YER184C	TOG1	0.3352	82.1914	9	0
YER185W	PUG1	0.7167	41.1208	9	1
YER186C		1.0985	533.2261	11	0
YER187W		1.8671	733.5546	8	1
YER188C-A		0.2220	7.1167	2	0
YER189W		0.3350	23.2557	4	0
YER190C-B		NA	NA	0	0
YER190W	YRF1-2	1.9018	336.2089	5	0
YFL001W	DEG1	7.2010	1102.7930	11	5
YFL002C	SPB4	3.9843	2004.0668	13	5
YFL002W-A		0.1375	2.2442	1	0
YFL002W-B		NA	NA	0	0
YFL003C	MSH4	0.8579	54.7918	8	0
YFL004W	VTC2	10.5583	4244.5687	12	8
YFL005W	SEC4	9.6133	8992.5475	13	5
YFL007W	BLM10	5.3439	1533.9397	10	6
YFL008W	SMC1	3.2707	476.8857	11	5
YFL009W	CDC4	3.0010	1027.0609	13	2
YFL010C	WWM1	3.0080	1979.7155	11	7
YFL010W-A	AUA1	0.3838	9.8149	3	0
YFL011W	HXT10	0.2034	5.6453	7	1
YFL012W		0.2182	5.8808	7	0
YFL013C	IES1	4.5939	1186.0225	11	5
YFL014W	HSP12	5.0349	1918.2485	12	7
YFL016C	MDJ1	6.8364	1023.1347	12	8
YFL017C	GNA1	4.1540	1011.0843	10	6
YFL017W-A	SMX2	3.9790	875.0667	5	3
YFL018C	LPD1	24.7445	15454.5079	13	9
YFL020C	PAU5	0.1562	28.2789	10	0
YFL021W	GAT1	2.7002	1753.8919	13	4
YFL022C	FRS2	18.5709	9211.6814	12	8
YFL023W	BUD27	4.7622	786.7807	11	5
YFL024C	EPL1	1.8948	420.6178	11	4
YFL025C	BST1	1.5182	234.1355	11	1
YFL026W	STE2	14.4617	7846.5271	13	4
YFL027C	GYP8	1.4944	494.0418	11	3
YFL028C	CAF16	4.9365	5045.6878	13	7
YFL029C	CAK1	2.5641	659.7403	10	3
YFL030W	AGX1	1.2604	193.8330	9	4
YFL031W	HAC1	10.3752	22335.2699	12	1
YFL033C	RIM15	2.0200	282.0791	12	4
YFL034C-A	RPL22B	23.6510	2864.7183	6	8
YFL034C-B	MOB2	2.1471	184.1326	7	5
YFL034W		4.3313	567.3350	12	3
YFL036W	RPO41	11.5704	981.0313	12	6
YFL037W	TUB2	8.6857	16002.2103	12	8
YFL038C	YPT1	11.7653	10678.2436	13	6
YFL039C	ACT1	23.8048	222203.7149	13	7
YFL040W		0.2541	14.8356	7	0
YFL041W	FET5	8.1186	935.2150	13	6
YFL041W-A		0.3304	11.5496	4	0
YFL042C		2.2837	285.2117	11	3
YFL044C	OTU1	3.8244	1782.2764	12	4
YFL045C	SEC53	10.2512	7711.3524	12	8
YFL046W	FMP32	3.1812	1203.5038	12	2
YFL047W	RGD2	3.7713	526.4325	11	5
YFL048C	EMP47	13.2055	3693.3129	12	8
YFL049W	SWP82	2.5769	499.9854	12	4
YFL050C	ALR2	0.7827	126.8205	11	2
YFL051C		0.3563	26.2288	8	0
YFL052W		0.3811	45.6440	7	0
YFL053W	DAK2	0.5765	62.8992	10	1
YFL054C		0.8243	95.0359	11	0
YFL055W	AGP3	0.4650	54.0439	8	0
YFL056C	AAD6	0.7577	52.7928	8	0
YFL057C	NA	2.5488	921.2826	11	0
YFL058W	THI5	0.5738	18.9796	7	0
YFL059W	SNZ3	0.9702	87.2983	11	1
YFL060C	SNO3	0.7664	55.4990	8	1
YFL061W	DDI2	0.3277	6.0043	4	0
YFL062W	COS4	1.3575	408.8600	8	1
YFL064C		0.2971	35.0487	7	0
YFL065C		0.4541	9.8608	5	0
YFL066C		0.8328	173.2754	8	0
YFL067W		0.9031	98.5328	6	0
YFL068W		0.5209	33.7323	3	0
YFR001W	LOC1	4.7072	1731.5204	11	6
YFR002W	NIC96	7.4287	1988.2200	12	7
YFR003C	YPI1	5.0722	2374.5753	11	2
YFR004W	RPN11	19.9958	4702.9553	13	6
YFR005C	SAD1	1.5525	308.3985	10	3
YFR006W		6.7720	4560.0734	13	7
YFR007W	YFH7	1.3052	347.6068	11	4
YFR008W	FAR7	2.1711	323.5927	10	3
YFR009W	GCN20	11.6100	10119.7035	13	7
YFR010W	UBP6	6.4574	5379.1045	13	8
YFR011C	MIC19	4.1087	1848.4785	11	6
YFR012W	DCV1	1.6251	65.5757	7	0
YFR012W-A		0.1531	14.6931	2	0
YFR013W	IOC3	3.8805	850.9972	11	6
YFR014C	CMK1	4.9904	1655.9593	12	5
YFR015C	GSY1	6.0198	692.5399	13	8
YFR016C		5.4874	1857.9142	11	6
YFR017C	IGD1	4.7906	584.2147	12	4
YFR018C		4.7793	1177.0265	12	2
YFR019W	FAB1	1.0454	123.5526	10	5
YFR021W	ATG18	3.8397	337.4013	11	6
YFR022W	ROG3	1.6242	437.3216	10	0
YFR023W	PES4	0.3217	16.0852	8	1
YFR024C-A	LSB3	7.0842	1352.3310	10	6
YFR025C	HIS2	4.1831	669.2569	12	5
YFR026C	ULI1	0.8839	234.4253	11	1
YFR027W	ECO1	0.6791	43.8037	9	0
YFR028C	CDC14	4.3145	839.7646	12	6
YFR029W	PTR3	1.4618	181.6531	11	1
YFR030W	MET10	4.3465	561.2546	12	7
YFR031C	SMC2	4.3036	1247.6047	12	4
YFR031C-A	RPL2A	32.4411	39650.7932	10	3
YFR032C	RRT5	0.3986	31.9576	7	0
YFR032C-A	RPL29	58.2610	52139.7505	9	6
YFR032C-B		0.2497	29.4004	3	0
YFR033C	QCR6	8.2251	5312.8050	13	5
YFR034C	PHO4	1.3017	704.7023	12	2
YFR035C		1.0971	78.6733	9	0
YFR036W	CDC26	1.2773	242.1918	11	0
YFR037C	RSC8	11.8891	2745.0492	12	8
YFR038W	IRC5	0.8505	279.0253	10	2
YFR039C	OSW7	5.1642	1030.4039	10	6
YFR040W	SAP155	5.0348	2101.1240	12	7
YFR041C	ERJ5	6.5878	1067.7506	12	4
YFR042W	KEG1	3.0021	1293.0755	11	1
YFR043C	IRC6	1.1718	216.3732	11	2
YFR044C	DUG1	21.6034	13630.1260	13	10
YFR045W		2.0007	293.3364	9	3
YFR046C	CNN1	1.5518	998.5025	8	2
YFR047C	BNA6	6.4196	2534.2312	13	7
YFR048W	RMD8	4.5209	904.6094	12	4
YFR049W	YMR31	2.3117	910.6311	11	6
YFR050C	PRE4	17.4837	26534.4965	13	7
YFR051C	RET2	13.9964	12577.7988	13	6
YFR052W	RPN12	13.5150	2062.9714	12	7
YFR053C	HXK1	13.4292	9269.2370	12	9
YFR055W	IRC7	3.4320	797.3459	11	1
YFR057W		0.1856	3.5558	6	0
YGL001C	ERG26	6.6799	4212.2248	13	6
YGL002W	ERP6	1.1375	624.5119	12	1
YGL003C	CDH1	0.6882	195.3280	10	1
YGL004C	RPN14	4.2870	960.8400	11	5
YGL005C	COG7	2.5408	524.3895	12	3
YGL006W	PMC1	1.6943	1658.6006	13	5
YGL006W-A		0.3261	9.5511	3	0
YGL007C-A		0.4785	21.1113	4	0
YGL008C	PMA1	57.2698	194928.6325	13	5
YGL009C	LEU1	32.1316	15185.1104	11	9
YGL010W	MPO1	2.5260	430.0806	11	2
YGL011C	SCL1	27.1266	17679.2317	13	9
YGL012W	ERG4	10.4388	6856.4930	13	6
YGL013C	PDR1	2.7996	1420.2188	12	4
YGL014W	PUF4	6.8388	2753.5359	12	7
YGL015C		0.6605	27.4747	8	0
YGL016W	KAP122	3.9634	2359.6417	10	7
YGL017W	ATE1	2.4464	244.4386	11	4
YGL018C	JAC1	3.6973	283.6445	10	5
YGL019W	CKB1	7.3017	2155.0401	13	6
YGL020C	GET1	6.3436	2652.8190	11	5
YGL021W	ALK1	2.7221	583.2227	10	4
YGL022W	STT3	7.3460	2623.1208	13	6
YGL023C	PIB2	3.0039	999.7150	10	4
YGL025C	PGD1	1.9104	656.7045	11	3
YGL026C	TRP5	13.8531	15568.8954	13	10
YGL027C	CWH41	3.8877	1912.2069	12	5
YGL028C	SCW11	20.9462	13437.1544	10	4
YGL029W	CGR1	6.1428	1625.8577	11	4
YGL030W	RPL30	22.3874	59213.5914	11	8
YGL031C	RPL24A	52.8717	65931.5585	11	7
YGL032C	AGA2	7.3926	5147.7501	11	2
YGL033W	HOP2	0.1417	10.8118	7	0
YGL035C	MIG1	5.6900	3810.0902	11	5
YGL036W		1.7346	442.3811	10	3
YGL037C	PNC1	13.8300	17537.9524	13	8
YGL038C	OCH1	12.0978	939.2778	12	4
YGL039W		4.4964	2562.3246	12	7
YGL040C	HEM2	8.9828	5824.9856	13	8
YGL041C-B		0.2101	3.1350	4	0
YGL041W-A		1.2411	85.9400	3	3
YGL043W	DST1	10.1166	3829.0091	10	6
YGL044C	RNA15	6.6769	1028.0871	11	4
YGL045W	RIM8	2.4727	243.0762	11	3
YGL047W	ALG13	2.7070	314.3779	11	4
YGL048C	RPT6	7.5017	9722.9759	13	7
YGL049C	TIF4632	11.7488	2368.5151	12	8
YGL050W	TYW3	3.8366	1813.5984	11	4
YGL051W	MST27	0.5955	65.8218	10	0
YGL053W	PRM8	1.4184	425.8640	11	1
YGL054C	ERV14	12.4971	9486.6206	12	4
YGL055W	OLE1	8.7178	10534.9451	13	7
YGL056C	SDS23	7.5749	958.5073	11	6
YGL057C	GEP7	1.2066	136.4245	10	2
YGL058W	RAD6	6.5896	566.3383	12	5
YGL059W	PKP2	1.1422	218.1176	12	3
YGL060W	YBP2	3.2196	990.2693	11	3
YGL061C	DUO1	3.2695	390.7121	11	5
YGL062W	PYC1	7.8468	871.2204	13	9
YGL063W	PUS2	1.2470	445.1668	10	0
YGL064C	MRH4	1.4748	136.4168	11	4
