# mRNA and protein levels, scaled to (average) molecules per haploid cell, sampled according to mean and variance of SCM estimates, for haploid budding yeast (S.cerevisiae) growing exponentially in rich medium with glucose 
#
# Generated Tue Apr 07 00:00:36 2015 
#
# Citation:
#   "Accounting for experimental noise reveals that transcript levels,
#   amplified by post-transcriptional regulation, largely determine steady-state protein levels in yeast,"
#   Gábor Csárdi, Alexander Franks, David S. Choi, Eduardo M. Airoldi, and D. Allan Drummond, PLoS Genetics, 2015
#
# orf = Systematic yeast ORF (open reading frame) identifier
# gene = Common gene name
# mrna = Messenger RNA level
# prot = Protein level
# n.mrna = Number of mRNA-level measurements
# n.prot = Number of protein-level measurements
orf	gene	mrna	prot	n.mrna	n.prot
YAR071W	PHO11	4.0500	1656.6394	11	4
YBL001C	ECM15	5.6751	6078.1848	12	3
YBL002W	HTB2	61.1316	85390.0388	12	7
YBL003C	HTA2	28.4682	36788.1387	11	3
YBL004W	UTP20	4.4134	544.3247	11	6
YBL005W	PDR3	1.2518	420.1104	11	1
YBL005W-A		0.3834	15.4093	3	1
YBL005W-B		2.1616	871.9821	3	2
YBL006C	LDB7	4.3753	2483.8137	11	2
YBL007C	SLA1	8.2733	1894.8036	11	8
YBL008W	HIR1	2.4036	146.8613	10	3
YBL008W-A		0.1489	5.9272	3	0
YBL009W	ALK2	0.4818	153.4975	10	2
YBL010C		1.5365	310.0121	10	3
YBL011W	SCT1	5.0814	1422.2899	11	5
YBL013W	FMT1	2.7749	196.2475	6	3
YBL014C	RRN6	2.6615	563.9279	10	1
YBL015W	ACH1	4.6957	2811.8455	11	8
YBL016W	FUS3	5.9895	1440.4188	12	6
YBL017C	PEP1	8.1224	2446.1456	12	8
YBL018C	POP8	3.4032	811.3906	8	2
YBL019W	APN2	3.2479	176.3360	6	1
YBL020W	RFT1	4.1593	1078.2311	11	1
YBL021C	HAP3	2.5460	391.7048	10	2
YBL022C	PIM1	5.3514	1723.7784	11	7
YBL023C	MCM2	5.8158	691.6245	11	6
YBL024W	NCL1	13.5645	4843.8275	10	9
YBL025W	RRN10	1.0029	247.2231	11	1
YBL026W	LSM2	6.8028	4511.1019	9	4
YBL027W	RPL19B	63.4536	86265.0459	12	4
YBL028C		9.6106	5345.3565	11	5
YBL029C-A		1.5165	153.7779	5	4
YBL029W		2.2500	177.4149	8	0
YBL030C	PET9	10.6608	38040.6621	12	5
YBL031W	SHE1	2.2273	102.4633	10	2
YBL032W	HEK2	20.4002	11312.1330	11	6
YBL033C	RIB1	6.9452	4410.5630	11	6
YBL034C	STU1	1.7067	200.3141	8	5
YBL035C	POL12	9.7165	874.3237	10	5
YBL036C		8.0142	2776.1680	10	7
YBL037W	APL3	2.3382	469.1743	9	5
YBL038W	MRPL16	4.7635	1819.1675	12	3
YBL039C	URA7	15.4930	4968.6092	12	8
YBL039W-B		0.4899	60.3988	4	1
YBL040C	ERD2	13.7541	6448.2574	12	3
YBL041W	PRE7	4.8140	5378.3949	12	4
YBL042C	FUI1	4.1229	942.7284	11	3
YBL043W	ECM13	0.4872	76.3829	11	0
YBL044W		0.2905	10.6362	6	0
YBL045C	COR1	15.9433	2350.8978	11	10
YBL046W	PSY4	2.8688	674.4730	10	4
YBL047C	EDE1	8.8388	2941.7136	12	8
YBL049W	MOH1	0.7971	111.3863	9	0
YBL050W	SEC17	4.8279	4085.4349	12	5
YBL051C	PIN4	10.6527	6610.0043	12	6
YBL052C	SAS3	0.9492	523.2676	9	2
YBL054W	TOD6	2.4240	819.6860	8	4
YBL055C		4.3532	821.0562	11	4
