SystematicName,40 fL,45 fL,50 fL,55 fL,60 fL,65 fL,70 fL,75 fL,Gene
YAL019W-A,-1.166331737,-1.241466067,0.350034718,0.229194939,-0.314352782,-0.750218001,0.641638276,0.787355107,NA
YAL020C,-0.273963966,-0.501240675,0.006412827,0.339962018,0.080865003,-0.101400197,0.178302072,0.10426632,ATS1
YAL021C,0.148851956,-0.474471018,-0.077635543,0.138298178,-0.49513568,-0.612622604,0.188948602,0.695933842,CCR4
YAL022C,-0.523982361,-0.405060263,-0.217077872,0.20292588,-0.053959915,-0.318645511,0.407605058,0.532482815,FUN26
YAL023C,-0.733098029,-0.639269449,-0.182631045,0.378048048,0.065312377,-0.141510559,0.613148439,0.128557109,PMT2
YAL024C,-0.598153221,-1.715559176,-0.678406177,-0.047321631,-0.06120334,0.324647147,0.876702846,0.480609925,LTE1
YAL025C,0.876407838,0.902795943,0.297986301,-0.450875502,-0.713363054,-1.007292183,-1.230431852,-0.322065559,MAK16
YAL026C,0.275029426,-0.187492138,-0.227162284,-0.016811206,-0.188343035,-0.116940792,0.374606254,-0.039663242,DRS2
YAL026C-A,-1.118836657,-0.116725507,-0.052854407,0.01015764,0.291209012,1.26884e-4,0.313911806,0.237975827,NA
YAL027W,0.492253315,0.012814364,0.037546023,-0.206918711,-0.11430756,-0.071751927,-0.122804317,-0.15524858,SAW1
YAL028W,-0.700923546,-0.590941085,0.025730275,0.017469942,0.202608037,-0.176632404,0.453541351,0.362659659,FRT2
YAL029C,-0.280073547,-0.294756098,-0.201056514,-0.185102812,-0.061944634,0.398582564,0.20552022,0.241785244,MYO4
YAL030W,0.093261944,-0.376555818,0.313000781,0.249478919,-0.71803877,-0.415451886,-0.337081377,0.662233312,SNC1
YAL031C,-0.063565129,-0.784732013,-0.190278063,0.088437965,-0.491658781,-0.094215342,0.643192729,0.393106859,GIP4
YAL031W-A,0.279289613,-0.734040717,-0.501768565,-0.155993728,-0.107872701,0.338955106,0.009484249,0.466798927,NA
YAL032C,0.502231474,-0.558545688,-0.016855896,-0.238563439,-0.33711517,-0.036512855,0.11746803,0.283539037,PRP45
YAL033W,-0.810643842,0.240601298,-0.03717461,0.020386872,0.281671681,0.127463959,0.087117607,-0.169137249,POP5
YAL034C,-0.46626348,-0.625381726,0.203725656,0.225528133,0.066752298,-0.158141184,0.183510431,0.296148395,FUN19
YAL034C-B,0.59903154,-0.419475589,0.209949446,0.30319567,-0.369550364,-0.399297707,-0.433086021,0.103202633,NA
YAL034W-A,-0.735243981,-0.59020494,0.143350998,0.370511332,0.348317924,0.06212084,-0.116203293,0.134969047,MTW1
YAL035W,0.304919912,-0.012019163,0.133519752,0.002221822,-0.51893898,-0.174545041,-0.30686802,0.358522095,FUN12
YAL036C,-0.266494561,0.143658475,-0.061013741,-0.238340327,0.088377983,-0.023377314,0.266865508,0.010576514,RBG1
